ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Health impact,Political impact
0,18800116,historical,deepseek-chat,1,0,0,0,0,0
1,18800120,historical,deepseek-chat,0,0,0,0,0,0
2,18800121,historical,deepseek-chat,1,0,0,0,0,0
3,18800219,historical,deepseek-chat,0,1,0,0,0,0
4,18800403,historical,deepseek-chat,0,1,1,0,0,0
5,18800408,historical,deepseek-chat,0,0,0,0,0,0
6,18800415,historical,deepseek-chat,1,0,0,0,1,0
7,18830312,historical,deepseek-chat,1,0,0,0,1,0
7,18830312,historical,deepseek-chat,0,0,0,0,0,0
7,18830312,historical,deepseek-chat,0,0,0,0,0,0
7,18830312,historical,deepseek-chat,0,0,0,0,0,0
7,18830312,historical,deepseek-chat,0,0,0,1,0,0
7,18830312,historical,deepseek-chat,1,0,0,0,0,0
7,18830312,historical,deepseek-chat,0,0,0,0,0,0
7,18830312,historical,deepseek-chat,0,0,0,0,0,0
7,18830312,historical,deepseek-chat,1,0,0,0,0,0
7,18830312,historical,deepseek-chat,0,0,0,0,0,0
8,18940213,historical,deepseek-chat,1,0,0,1,0,0
8,18940213,historical,deepseek-chat,1,0,0,0,0,0
8,18940213,historical,deepseek-chat,1,0,0,0,0,0
8,18940213,historical,deepseek-chat,1,0,0,0,0,0
8,18940213,historical,deepseek-chat,0,0,0,0,0,0
8,18940213,historical,deepseek-chat,0,0,0,0,0,0
8,18940213,historical,deepseek-chat,0,0,0,0,0,0
8,18940213,historical,deepseek-chat,0,0,0,0,0,0
8,18940213,historical,deepseek-chat,0,0,0,0,0,0
9,18950819,historical,deepseek-chat,1,1,0,1,1,0
10,18930710,historical,deepseek-chat,1,0,0,0,1,0
11,18920615,historical,deepseek-chat,1,0,0,0,1,0
11,18920615,historical,deepseek-chat,1,0,0,0,1,0
11,18920615,historical,deepseek-chat,1,0,0,0,1,0
11,18920615,historical,deepseek-chat,1,0,0,0,0,0
11,18920615,historical,deepseek-chat,1,0,0,0,0,0
11,18920615,historical,deepseek-chat,0,0,0,0,0,0
11,18920615,historical,deepseek-chat,0,0,0,0,0,0
11,18920615,historical,deepseek-chat,0,0,0,0,0,0
11,18920615,historical,deepseek-chat,0,0,0,0,0,0
11,18920615,historical,deepseek-chat,1,0,0,0,0,0
11,18920615,historical,deepseek-chat,1,0,0,1,0,0
11,18920615,historical,deepseek-chat,1,0,0,0,0,0
11,18920615,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,1,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,1
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,1,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,1,0,0,0,0,0
12,18920223,historical,deepseek-chat,1,0,0,0,0,0
12,18920223,historical,deepseek-chat,1,1,0,0,1,0
12,18920223,historical,deepseek-chat,1,0,0,0,1,0
12,18920223,historical,deepseek-chat,1,0,0,0,1,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,1,0,0,0,0,1
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,1,0,0,0,0,0
12,18920223,historical,deepseek-chat,0,0,0,0,1,0
12,18920223,historical,deepseek-chat,0,0,0,0,0,0
12,18920223,historical,deepseek-chat,1,0,0,0,0,0
12,18920223,historical,deepseek-chat,1,0,0,0,0,1
