LabelledBy,ID,Text,Remove,Date,Type,Weather,Infrastructural Impact,Political Impact,Economic Impact,Ecological Impact,Agricultural Impact,Human Health Impact,
Xianda,215,"April 15, The forest fire, which came near cleaning out the town Sunday, has broken out afresh five miles north of here. The flames are spreading at an alarming rate. The fire thus far is confined to the Doughty tract, which covers over 30,000 acres. A thunderstorm is looming and it is thought that if it strikes here with any force it will put out the fire. The loss by Sunday's fire was over $40,000. Sportsmen also are big losers, as pretty much all of the young game in the vicinity of Absecon and North Pleasantville was burned up, as well as old game, such as deer, rabbit, and quail. An earthquake and a shipwreck. San Francisco, April 15. The steamer San Juan, from Panama, brings advices stating that the severest earthquake shock experienced on the Isthmus since 1882 occurred recently. The shock lasted five seconds. On February 12th news was received in Guatemala that the steamer Shakharah, which left San Jose for Hamburg, went to pieces on the rocks near Acajulia.",0,18900416,historical,None,0,0,0,0,0,0,
Xianda,215,"The shock lasted five seconds. On February 12th news was received in Guatemala that the steamer Shakharah, which left San Jose for Hamburg, went to pieces on the rocks near Acajulia. The cargo of 18,000 sacks of coffee, valued at $46,000, was lost. Milled His Father's Assailants. DmerrflAN, Mo, April 15. Two of a gang of four masked men, who visited the residence of an old man named Holland, living on the Pike place, near here, last Saturday night for the purpose of whipping him, were killed by Holland's 14-year-old son. The gang had knocked the old man down and were kicking him when the boy opened fire on them with a double-barreled shotgun. As Daggett's Blotting Pads. New Haven, Conn, April 11. Wilkinson Bros. & Co. have attached the postal card works at Ansonia on a claim of $10,000 under instructions from Washington.",0,18900416,historical,None,0,0,0,0,0,0,
Xianda,215,"New Haven, Conn, April 11. Wilkinson Bros. & Co. have attached the postal card works at Ansonia on a claim of $10,000 under instructions from Washington. The government officials have recently found fault with the cards made by contractor A. Daggett and he was forced to procure a new supply of paper from Lawrence, Mass. A lithographic trust. Philadelphia, April 15. The Press says a syndicate of American capitalists, said to have a backing of $200,000,000, is trying to buy up all the lithographic plants in the United States and form a lithographic trust. This scheme means that all forms of advertising outside of the newspapers will be in control of a rich trust. Bucket shops sold to the Wall. Chicago, April 15. President Baker says the right of the Board of Trade with the bucket shops has worked admirably. He states that bucket shops are falling all over the country, and those in this city have to depend on stock quotations, as their grain prices are worthless. Business on the board continues large. Collided With a Freight Car.",0,18900416,historical,None,0,0,0,0,0,0,
Xianda,215,"He states that bucket shops are falling all over the country, and those in this city have to depend on stock quotations, as their grain prices are worthless. Business on the board continues large. Collided With a Freight Car. Schenectady, N.Y, April 15. Train No. 34 on the Fitchburg railroad collided with a freight car last night near Glenville. The engineer was quite badly hurt. The engine, baggage car, and the sleeper were derailed, the first two being badly smashed. The passengers escaped injury. Interfered With Contract Labor. New Orleans, April 15. Ferdinand Brewer, negro laborer's agent, was yesterday convicted of unlawfully interfering with contract labor and fined $100. He was jailed in default of payment. This is the first conviction under this law, which was passed by the last Legislature. A Medal for Finding a Comet. Geneva, Ill, April 15. Professor Brooks, director of the Smith Observatory here, has just been awarded the medal of the Astronomical Society of the Pacific for his discovery of the comet now in the eastern heavens.",0,18900416,historical,None,0,0,0,0,0,0,
Xianda,215,"Geneva, Ill, April 15. Professor Brooks, director of the Smith Observatory here, has just been awarded the medal of the Astronomical Society of the Pacific for his discovery of the comet now in the eastern heavens. It is the first medal awarded by this society. Accidentally Shot in the Heart. Sodus, N.Y, April 15. At about 10 o'clock last night a Pole named Wallack Walloftoski was accidentally shot through the heart in the house of Julius Albrecht, on Murray Street, by Wladyslaw Baliknowicz, of White Port. An Electric Light Monopoly. Baltimore, April 15. A deal has been made by the Brush Electric Light Company of this city and the Westinghouse Company of Pittsburgh, by which the latter company practically obtains control of the former. Failed for $300,000. Detroit, Mich, April 15. The Detroit Steel and Spring Company, the largest of its kind in the United States, has suspended payment with liabilities of $300,000. Assets nominally the same. The Southeastern Rivers Falling. Arkansas City, Arkansas, April 15.",0,18900416,historical,None,0,0,0,0,0,0,
Xianda,215,"Assets nominally the same. The Southeastern Rivers Falling. Arkansas City, Arkansas, April 15. The rivers here are falling slowly and the backwater is falling after being at a stand for eight days. Everybody seems to be in better spirits. Hasn't Pumped Oil on Sunday. Washington, Pa, April 15. Judge Moll-VJEe yesterday decided that oil well pumping on Sunday is Sabbath desecration within the meaning of the law. A WASTED OPPORTUNITY in such men. The United States Treasury Vaults Only Tin Boxes. Washington, April 15. There was a hastily convened meeting of the appropriations committee of the House tonight. The meeting only lasted a few minutes, but in that time it was agreed to report favorably a bill to the House tomorrow appropriating sufficient money to build new vaults in the treasury building. This hasty action was occasioned by a secret communication from Treasurer Huston.",0,18900416,historical,None,0,0,0,0,0,0,
Xianda,215,"This hasty action was occasioned by a secret communication from Treasurer Huston. He informed the committee that $100,000,000 in gold and silver is stored in one vault, and over $100,000,000 in silver in another vault, while in a third vault is... Some time ago Treasurer Huston secured the services of a man to commit amateur burglary. In eighteen seconds the man drilled a hole in the vault containing $250,000,000 of paper money, and in exactly sixteen minutes he had a bolt made large enough to admit his body. This exhibit scared the appropriations committee, and in about five minutes a bill, drafted by Huston, making an appropriation for the building of new vaults was approved. No doubt the cracksmen throughout the country who have been laboring so long and earnestly to penetrate first-class modern safety vaults will feel infinitely disgusted when they learn what a haul they missed by not attacking the national treasury. NEWS FROM DOWN EAST. The Nova Scotia Council Won't Commit Suicide - A Halifax Alderman in Trouble - The Hawkesbury Fisheries Trouble. Halifax, April 15. The Legislative council has refused to abolish itself.",0,18900416,historical,None,0,0,0,0,0,0,
Xianda,215,"NEWS FROM DOWN EAST. The Nova Scotia Council Won't Commit Suicide - A Halifax Alderman in Trouble - The Hawkesbury Fisheries Trouble. Halifax, April 15. The Legislative council has refused to abolish itself. The government bill, enacting abolition, adopted unanimously by the lower House, was referred to the committee of privilege in the council. That committee reported that the bill was an evasion of the rights and privileges of the council, and that any measure for abolition ought to originate in the council itself.",0,18900416,historical,None,0,0,0,0,0,0,
Xianda,216,"""(V: NJ - Is1 Mami D 1992 MTI IPC FRONT FRONT PRESSURE RAIN SNOW THUNDERSTORM PRESSURE Partly cloudy High 23 Low 12 Sunny High 22 Low 11 Canada Max Iqaluit Cloudy 6 2 Yellowknife PCloudy 17 8 Whitehorse Sunny 24 6 Vancouver PCloudy 22 14 Victoria Showers 21 14 Edmonton Sunny 23 11 Calgary Cloudy 23 12 Saskatoon PCloudy 21 12 Regina PCloudy 24 12 Winnipeg Showers 18 12 Thunder Bay Showers 18 8 Sudbury PCloudy 22 14 Toronto Sunny 27 15 Fredericton Cloudy 23 12 Halifax PCloudy 22 12 Charlottetown Cloudy 20 11 St.",0,19920628,modern,None,0,0,0,0,0,0,
Xianda,216,John's Cloudy 11 7 United States Max Atlanta PCloudy 29 19 Boston Sunny 28 17 Chicago Sunny 27 15 Dallas PCloudy 33 24 Denver PCloudy 29 14 Las Vegas Sunny 40 24 Los Angeles PCloudy 25 16 New Orleans PCloudy 33 23 New York Sunny 28 19 Phoenix Sunny 43 28 St.,0,19920628,modern,None,0,0,0,0,0,0,
Xianda,216,Louis PCloudy 30 20 San Francisco Cloudy 21 15 Washington Sunny 29 17 World Amsterdam Athens Bailing Berlin Copenhagen Dublin Hong Kong Jerusalem Lisbon London Madrid Mexico City Moscow Nairobi New Delhi Paris Rio de Janeiro Rome Sydney Tokyo Sunny PCloudy Cloudy Sunny Sunny PCloudy PCloudy Sunny Sunny Sunny Sunny PCloudy Rain Sunny Cloudy Sunny PCloudy Sunny Showers Cloudy 25 15 28 21 29 20 25 14 54 13 21 14 31 26 32 18 25 14 25 16 29 14 28 15 12 9 24 12 37 27 26 16 28 21 24 16 14 8 24 20 Resorts Acapulco Barbados Bermuda Honolulu Kingston Miami Myrtle Beach Nassau Tampa Virginia Beach PCloudy PCloudy PCloudy Sunny Showers PCloudy PCloudy PCloudy PCloudy Sunny for $7.2 million in gold about two cents per acre The classic question of its genre although 60 guildens is usually expressed in converted form as $24 This is the value attached to the beads trinkets and bits,0,19920628,modern,None,0,0,0,0,0,0,
Xianda,216,2 million in gold about two cents per acre The classic question of its genre although 60 guildens is usually expressed in converted form as $24 This is the value attached to the beads trinkets and bits of cloth the Algonquians accepted as payment in full for the island of Manhattan Alan Doiul paid this astronomical sum at least half of it for Vincent van Gogh's Irises Two years later it was revealed that the Sotheby's auction house had in fact lent the Australian half the purchase price Interchange set a price record Cora painting to a hand artist Willem de Kooning the Dutch-born abstract expressionist born in 1904 Alas the Japanese dealer Shi-icki Kamavanu found himself unable to pay the bill and resorted to another Sotheby's layaway plan This is the price Los Angeles Kings owner Bruce McNall paid his Edmonton Oilers counterpart Peter Pocklington for Canada's greatest athlete and ranking role model Wayne Gretzky For home delivery call 007-2400 South Pole Antarctica For the week ending 26 June 1992 Mediterranean Storms A line of freak thunderstorms rumbling across the northeastern Mediterranean coast from Spain and southern France to the principality of Monaco brought two days of disastrous flash flooding to the resort region,0,19920628,modern,None,0,0,0,0,0,0,
Xianda,216,"South Pole Antarctica For the week ending 26 June 1992 Mediterranean Storms A line of freak thunderstorms rumbling across the northeastern Mediterranean coast from Spain and southern France to the principality of Monaco brought two days of disastrous flash flooding to the resort region Raging waters uprooted trees and swept away cars as river levels rose by as much as 3 metres Heatwave Unrelenting heat across most of Pakistan and the western desert region of India killed approximately 50 people and caused many others to fall unconscious Most people remained indoors to escape the searing summer sunshine In Pakistan's twin cities of Islamabad and Rawalpindi a line of heavy thunderstorms brought temporary relief but increased humidity from the storms made the subsequent heat even more unbearable Joanne Mills CLEAN LIVING initiative is the Community Support Program which will provide grants to community environmental and heritage groups involved in major environmental activities The program carries a budget of $11.5 million over five years $400,000 of which will go toward covering the group's operational costs such as rent phone stamps and fax The maximum allowable is $2,000 per group per year There is also $300,000 a year to support projects developed and executed by youth those under 25 for environmental protection Again there is a maximum of $2,",0,19920628,modern,thunder,0,1,0,1,0,0,
Xianda,216,"000 per group per year There is also $300,000 a year to support projects developed and executed by youth those under 25 for environmental protection Again there is a maximum of $2,000 per project In addition Mauzcroll says that $600,000 per year has been earmarked to support conferences and networks that will bring people from various levels of society at the local and regional level together to address their heritage or their environmental problems in a sustainable development fashion There is also increased funding for the Canadian Environmental Network a coalition of approximately 2,000 groups in Canada and annual conferences state for 2 cents an acre Arthur S. Kapfelnls Quiz Answers A On August 15 1971 the U.S. comforted Nikki who told him her parents never loved her Scott told Nikki's lawyer Jessica that he can't wait to get his law license reinstated Jessica and Scott made love after he suggested they'd make a good legal team John realized Karen's mother is an alcoholic and is always with different men Bill recalled being beaten and burned by a man when he was in jail The man who tortured Bill works for Simon Simon is convinced Holly knows the whereabouts of emerald mines in San Sebastian and where to find a jaguar statue that he wants Clay reluctantly",0,19920628,modern,None,0,0,0,0,0,0,
Xianda,216,different men Bill recalled being beaten and burned by a man when he was in jail The man who tortured Bill works for Simon Simon is convinced Holly knows the whereabouts of emerald mines in San Sebastian and where to find a jaguar statue that he wants Clay reluctantly remarried Gwyneth in Isabelle's hospital room after a dying Isabelle begged them to tie the knot Dinah Lee was furious when she learned Clay married Gwyneth but insisted the marriage will not last for long Dinah Lee wished Clay a happy life and then stomped off Hannah learned that Kent planned to plant After crashing her car during a bad thunderstorm Erica found shelter in a hunting cabin owned by Dimitri who went to the cabin after his horse left him stranded Dimitri told Erica that he loves her after they made love Jack rescued Angelique who was thrown from her horse while searching for Dimitri Dimitri promised Erica that he will divorce Angelique Brooke is worried about Edmund who woke up in the middle of the night after having a recurring nightmare which he said relates to the fact that his father despised him Gloria told off Helga when she tried to put her down again Taylor told An Li that she will help her come up with a miscarriage story once An Li has taken Brian away from Hayley Brian refused,0,19920628,modern,None,0,0,0,0,0,0,
Xianda,216,relates to the fact that his father despised him Gloria told off Helga when she tried to put her down again Taylor told An Li that she will help her come up with a miscarriage story once An Li has taken Brian away from Hayley Brian refused to believe Terrence who correctly believes An Li is lying about being pregnant An upset Hayley saw Brian comforting An Li Stuart asked Gloria out on a date Kevin's violent temper flared when Carl ordered him to stay away from Lorna Kevin tended to Lorna who was slightly injured when a stage light fell on her Ryan who is on the run from the police agreed to meet Carl the night of Dean's concert Ryan looked through a box of old letters that belonged to his mother Carl later sneaked into Vicky's place and stole the box that belonged to Ryan's mother Felicia comforted Lorna who was afraid that Carl will show nude photos of her to her grandmother Sally told Lucas that she suspects Rick was killed by someone who was close to him Marley confronted Dennis about his bet with Jake to break up her and Jamie Marley ran off when Dennis accused her of being afraid of rejection Jamie and Kelsey broke up to avoid gossip at the hospital When Hannah moved in with Jake and Paulina she put a,0,19920628,modern,None,0,0,0,0,0,0,
Xianda,216,Marley confronted Dennis about his bet with Jake to break up her and Jamie Marley ran off when Dennis accused her of being afraid of rejection Jamie and Kelsey broke up to avoid gossip at the hospital When Hannah moved in with Jake and Paulina she put a crimp in their romance Tony Rhodes who plays Jesse Lombard on Days of Our Lives had an inkling about what soap-opera life was all about even before he came to the Burbank studio where the show tapes The actor's old friend Kari Kupcinet who played Julie Sanderson on The Young and the Restless helped him learn the ropes Kari and I have been friends for a long long time Rhodes said The two of us went to Birmingham High School together in Los Angeles We even did a play there starring opposite one another in a production of Shakespeare's A Midsummer Night's Dream When Kari got her role on The Young and the Restless she invited me down to the set to visit her but I never made it he said It was just one of those things Anyway when I was cast on Days I called Kari to tell her the news then I said So what's it like?,0,19920628,modern,None,0,0,0,0,0,0,
Xianda,216,"Restless she invited me down to the set to visit her but I never made it he said It was just one of those things Anyway when I was cast on Days I called Kari to tell her the news then I said So what's it like? She told me that being on a soap was a very demanding job and that it took a lot of work and a lot of memorization but with practice it would get easier Rhodes celebrated winning his first soap role by taking his mother sister and a friend out to dinner I've always taken my mother out to dinner at least once a month he said Now that I've got a good steady job I've been taking her out more often about every other week The funny thing though is that before she always wanted to go to inexpensive places but lately she's been asking me to take her to better places like the Beverly.""",0,19920628,modern,None,0,0,0,0,0,0,
Xianda,217,"""WEDNESDAY, JULY 16, 1997 QUEBEC ahead at Hydro-Quebec JAMES MENHIE The Gazette At first glance, the dim blue pattern on the computer looks like a raindrop design screen saver, but then you notice the drops are drifting across what is very definitely a map of Quebec and northern New England, and every time one splashes in a white blob, a counter at the top of the screen records another stroke. ""This is a storm that occurred between April 30 and May 1,"" said Remi Poupart of Hydro-Quebec's emergency measures division. Squinting up at the changing digits in the columns above the map, he added: ""The numbers in the first column show the number of lightning strikes between the sky and the ground, the second shows how many went up from the ground to the sky, while the third shows the lightning passing from cloud to cloud."" Carried out at the 16th-floor offices of Hydro-Quebec's maintenance division, a recent demonstration showed how so far there's been no breakthrough in the war against freezing rain, the public utility prepares to deal with bolts from the blue.",0,19970716,modern,None,0,0,0,0,0,0,
Xianda,217,"Carried out at the 16th-floor offices of Hydro-Quebec's maintenance division, a recent demonstration showed how so far there's been no breakthrough in the war against freezing rain, the public utility prepares to deal with bolts from the blue. As Poupart explained how the software for this lightning-tracking system was developed in Florida and purchased four years ago by Hydro, how the lightning strikes are detected by half a dozen antennae erected across the province that triangulate a lightning strike to within 200 metres of the point of impact, the counter on the screen behind him showed more than 1,000 strokes recorded over a 22-hour period. ""They haven't figured out how to make lightning-proof equipment at Hydro, but newer, sturdier, better insulated equipment has reduced the damage toll. ""We've spent about $138 million on upgrading our equipment and we've gone from having 12,000 transformers blown in 1994 to 450 as of this year,"" said Rejean Levasseur, who runs the utility's maintenance division, noting that Hydro's power distribution network uses more than 500,000 transformers. ""I guess you could say the investment was well spent.""",0,19970716,modern,thunder,0,1,1,0,0,0,
Xianda,217,"""I guess you could say the investment was well spent."" However tough Hydro's power distribution might become, though, fire from heaven still takes its toll: in 1995, lightning strikes accounted for 12,220 power failures in Quebec - about 29 per cent of the provincial total. The numbers changed little last year, with 11,668 blackouts, or 22 per cent of the total. No action soon on English health care CAMPBELL CLARK Gazette Quebec Bureau QUEBEC - The new access plans for English-language health services will not be approved until late August or early September, a spokesman for Health Minister Jean Rochon said yesterday. Rochon made a presentation on the plans to the provincial cabinet last Wednesday, Rochon's spokesman, Martin Caille said. The cabinet made no decision on the plans, and no cabinet meetings are scheduled until August. That marks another in a series of delays in the process of approving the new plans, which outline how healthcare institutions will provide service in English.",0,19970716,modern,thunder,1,0,0,0,0,0,
