"Date","Text"
"18800623","TURKEY, Bwsaltus snnwItloMs mt war, BrcnADHT, June 22, Russia has presented to Bulgaria another warship, also 16,000 rifles, Al baaia and rientenejrro, CossTAjmyoPL, June 22, The Porte declines to force the Albanians to surrender their territory to Montenegro, but is willing to use its persuasion, ARSTRIA-nTXGART, Klnteterial crisis, Yuxxa, June 22, A Ministerial crisis is imminent GEKJIAJY, ttiaaatrsnsi raiasu B kr Us, June 22, In the district of Lambar, in Breslau, Prussia, heavy torrential rains have killed 36 persons and destroyed 105 houses"
"18840527","S kindly assisted in the classification of the bones. In dealing with his subject, Dr. Dawson remarked that great interest attaches to any remains which, in countries historically so old, may indicate the residence of man before the dawn of history. In Egypt, nodules of flint are very abundant in the Eocene limestones, and where these have been wasted away, remain on the surface. In many places there is good evidence that the flint thus to be found everywhere has been, and still is, used for the manufacture of flukes, knives, and other implements. These, as is well known, were used for many purposes by the ancient Egyptians, and in modern times gun-flints and strike-lights still continue to be made. The debris of worked flints found on the surface is thus of little value as an indication of any flint-folk preceding the old Egyptians. It would be otherwise if flint implements could be found in the older gravels of the country. Some of these are of Pleistocene age, and belong to a period of partial submergence of the Nile Valley. Flint implements had been alleged to be found in those gravels, but there seemed to be no good evidence to prove that they are other than the chips broken by mechanical violence in the removal of the gravel by torrential action. In the Lebanon, numerous caverns exist. These were divided into two classes, with reference to their origin; some being water-caves or tunnels of subterranean rivers, others sea-caves, excavated by the waves when the country was at a lower level than at present. Both kinds have been occupied by man, and some of them undoubtedly at a time anterior to the Phoenician occupation of the country, and even at a time when the animal inhabitants and geographical features of the region were different from those of the present day. They were thus of various ages, ranging from the post-Glacial or Antediluvian period to the time of the Phoenician occupation. Dr. Dawson then remarked that many geologists in these days had an aversion to using the word ""Antediluvian,"" on account of the nature of the work which, in years now gone by, unlearned people had attributed to the flood described in Scripture, but as the aversion to the use of that word was, he thought, not called for in these days, he hoped it would pass away. Speaking as a geologist, from a purely geological point of view, and from a thorough examination of the country around, there was no doubt that there was conclusive evidence that between the time of the first occupation of these caves by men—and they were men of a splendid physique—and the appearance of the early Phoenician inhabitants of the land, there had been a vast submergence of land, and a great catastrophe, aye a stupendous one, in which even the Mediterranean had been altered from a small sea to its present size. In illustration of this, the caverns at the Pass of Nahr-el-Kelb and at Ant Elias were described in some detail, and also, in connection with these, the occurrence of flint implements on the surface of modern sandstones at the Cape of Has near Beirut; these last were probably of much less antiquity than those of the more ancient caverns. A discussion ensued, which was taken part in by a number of distinguished Fellows of the Royal Society, including Sir H. Barkly, F."
"18900718","M. Dapny will question the Government in the Chamber of Deputies tomorrow in regard to the result of the negotiations with the powers aiming to minimise the effect of the McKinley bill, whether it is possible to appeal to international law to prevent America from pronouncing condemnations and whether the common law tribunals cannot settle customs disputes. Minister Ribat will reply tomorrow or Saturday. A M I Union In the Federation. London, July 17 A tablet in memory of the late Mr. Daley, an Australian statesman, was unveiled in St. Paul's Cathedral today by Lord Rowberry. His lordship made an address in which he called attention to the fact that the tablet was the first memorial erected in the cathedral to a colonist, and said it was, therefore, a milestone in the path of those having faith in the federation of the Empire. Servia Wants Reparation. Psiobads, July 17 The Servian Government has sent a circular to the powers with reference to the recent murder of the Servian consul at Pristine. The circular says the murder was not due to personal vengeance, but to religious fanaticism, and demands special reparation from Turkey. Laid it on TeoTblek. Lawrence, July 17 The Press Association understands that the American version of the Bering Sea communications between Lord Salisbury and Mr. Blaine, although in substance correct, is couched in stronger terms than Lord Salisbury used. Disastrous Rains In India. Calcutta, July 17 Heavy rains prevail in the Darjeeling district, and part of the country is flooded. Bridges have been carried away in many places, and the only means of communication between the planters is by boat. The Argentine Plan Revived. Buenos Ayres, July 17 The President has sent a message to the House of Deputies asking it to authorize the issue of $6,000,000 in small paper currency. This move has alarmed the money market. Gold is quoted at 201 premium. Boers Not Revengeful. Pretoria, July 17 A jury of Boers has acquitted the Englishmen charged with rioting and with insulting the Transvaal flag on the occasion of President Krueger's visit to Johannesburg. Bulgaria Pressing the Sultan. Constantinople, July 17 The agent of Bulgaria here has demanded that the Porte answer his Government's recent note whatever the nature of the reply. The Moorish Italian In Danger. Tangier, July 17 A number of prominent residents of Fez have been arrested for an attempt on the Sultan's life. A Liberal from Mid-Durham. London, July 17 Mr. Wilson, a Liberal, has been returned to Parliament for Mid-Durham by a majority of 2,000. Cholera Spreading In Russia. St. Petersburg, July 17 Cholera is prevalent in Kowno and Vilna and is spreading. Many fatal cases are reported. Foreign News In Brief. The floods at Kustendil, Austria, have caused much damage. The Austrian Government has ordered the building of four new ironclads. The Mersey Dock Board will expend £500,000 in deepening and improving the docks. The Bulgarian Government has adopted quarantine measures against arrivals from Spain. Cholera has spread from Mesopotamia to Lake Van. Nomads are spreading the infection. The Guatemalan legation at Paris denies that war is imminent between Guatemala and San Salvador. The American riflemen arrived at Dingoo last night. The city was decorated and illuminated in honor of the Americans. Thunderstorms and torrential rains in the southern and midland counties of England have had a destructive effect upon the crops. Count Conrad Stollberg, heir to one of the biggest landowners in Germany, was accidentally shot and killed yesterday while duck shooting. A whole family, consisting of father, mother, and six children, was suffocated by charcoal fumes in a room in the Rue Avron, Paris, yesterday. An extraordinary meeting of the Turkish Ministerial council yesterday discussed Bulgaria's demand for the recognition of Prince Ferdinand as ruler of Bulgaria."
"18921018","THE GAZETTE, MONTREAL, TUESDAY OCTOBER 18 1892, ""THE BRITISH CATTLE MARKETS"", ""A Better Tone Apparent but Prices Unchanged"", ""Kuhne Cattle in Tour Outlined in Admission of American cattle discussed General Market Honors"", ""(From our own correspondent) Liverpool, October 8"", ""While trade cannot be described as better, there are indications apparent in various reports which would build up that a firmer tone has been established"", ""So far as Liverpool and London are concerned I cannot say this feeling exists, for our salesmen here found it very difficult, indeed, to make anything over the rates current a week ago"", ""At Stanley on Monday the heavy supplies of Irish cattle fully compensated for any deficiency on Canadians, and buyers openly admitted they were getting Dublin cattle relatively cheaper than imported stock"", ""The rough, unvanquished character of the Dominion stock made dealers fight shy of them, while the torrential rain made all attempts at business except at intervals nearly impossible"", ""As cabled, 5d was the very extreme touched for Canadians, and taking the run of sales through, 43d really exceeds otherwise the general average"", ""The milch cows sold on Thursday realized fair prices, dairymen and farmers being loath to let the bargains go"", ""The good attendance at Sullivan's sale induced some competition, resulting in business of a much more satisfactory kind than anything experienced in the open market"", ""At Birkenhead States cattle have been selling equally freely, the highest price made for good bodies touching 45d down to 4Jd"", ""This would be equal to 53d to 5d for cattle, which, bearing in mind the quality and weight of the bullocks, is anything but a good price, although at the same time, I believe, they were handled without loss"", ""In the stocker trade Canadians sold at Dundee this week are reported as having on the whole met a satisfactory trade, but the report which reaches us from there (see below), I think ought to be taken with some reservation"", ""THE ADMISSION OF STATES CATTLE is just now the principal theme of cattlemen's talk, and speculation runs riot over the possible effect of unrestricted trade in Yankees"", ""I send for publication the article by Mr. W. T. Hear for the Standard this week, which expresses the situation from a productionist point of view, and while strongly denouncing on such grounds the free admission of American live stock, also emphasizes the fact that infectious diseases other than pleuro are still rampant throughout the States"", ""Mr. Bear is a practical farmer, was formerly editor of the Mark Lane Express, and is held in high estimation as an authority on all agricultural matters"", ""As yet no formal demand has been made by the United States Government that its livestock shall be admitted on equal terms with the 'most favored' nation, and probably if such demand were made it would be put off for further consideration"", ""Meantime the new minister of agriculture is making a general progress through the agricultural districts of Scotland, informing himself fully upon all matters, and no doubt he has before him very prominently the question of lifting the embargo from States cattle"", ""To discuss the situation before any action has been entered upon by the States authorities, and the nature of the reply thereto by them, is unnecessary at present"", ""THE SURPRISING ALLEGATIONS of the Dundee Courier man dwindle down to very small beans on investigation, and the whole affair may be traced to a certain amount of jealousy on the part of the enterprising newspapers which shed their literary light upon the Dundonians"""
"18941218","U1ASCE AND MADAGASCAR The French have taken the first step towards spending the recent vote of $12,500,000 by occupying Tamatave, and no doubt the news will be received at Paris with great enthusiasm, though this is only the first and simplest step in the undertaking. Evidently the whole nation has been smitten by the war fever. The legislative bodies could not withstand the pressure of popular excitement and passed the vote by large majorities. In their heart of hearts many members of the Senate and the Chamber probably know better, and would vote against the expedition if they dared. But France has got herself into such a position with regard to Madagascar that she must either go on or withdraw, and in the present state of public feeling withdrawal is impossible. What France is to gain by the expedition is not clear; and the loss she risks is not merely of money and soldiers' lives, but of national honor. No doubt France can crush Madagascar if she puts forth her energies, but the operation may be a very expensive one. The Hovas are said to have a reserve of 70,000 men, well supplied with rifles and modern artillery. The difficulty of the expedition is greatly increased by the nature of the country. Of the road from Tamatave to the capital, an English resident in Madagascar says: Speaking generally the route is an endless succession of hills. Here and there are short easy stages, but for the greater part the French troops will have to cut their way, two or three abreast at the most, in the beds of gullies made by the torrential rains. At other points they will have to cut their way through dense, fever-laden forest. Even with small parties it often happens that the porters have literally to drag one another out of the thick, red mud in which they sink to their waist. From the top of the hills and rocks a mere handful of Hovas could, without danger to themselves, seriously harass the troops toiling hundreds of feet below them. It is evident that the French force, which is to consist of 15,000 troops in the first instance, will have no easy task before them. If the Hovas have anything like the military discipline and modern weapons they are given credit for, they will offer a serious resistance, and it may be that the French will meet a more destructive foe in the malarial fever. Even if the Hovas give way and the expedition proves a success, what return is the French government likely to get for its expenditure? The island is said to be unsuitable for European colonization, and if it offered a good field, the French would not colonize it. The population of France is practically at a standstill, and the government has no need to seek room for expansion. It does so merely from a foolish national jealousy of England, whose small size and overflowing population make colonization and colonial trade an absolute necessity. The French of today have neither the circumstances nor the characteristics which impel young Englishmen to emigrate. The young Frenchman is happy at home; he thinks France the finest country in the world, and he looks upon emigration as exile. Before national feeling had reached its present fever heat, the oro spoke out plainly: France will never colonize Madagascar, and nobody wants it but those to whom the island will be the happy hunting-ground of functionaries, of exotic banks, and of railways without passengers or traffic. This is what will happen if all goes well; but if disaster comes, the story of Tonquin will be repeated, and the Government which is now keeping in power by yielding to the popular voice will be swept out of office amid universal execration. The news of the unexpected death of Robert Louis Stevenson will bring to many of his admirers the pain of a personal loss. His genial, beautiful, cheerful spirit endeared him to thousands who knew him, and in the passing away of such a gentle spirit English literature sustains a loss we can ill afford. Stevenson had none of the pessimism and cynicism which mark some of our modern novelists. He was thoroughly human, and it is his entire humanity that gives his stories their greatest charm. It is because of this quality that we follow with breathless interest the adventures of his freebooters and wild Highland men and simple Lowland youths or English sailor boys. He had also in high degree the gift of romantic imagination. For the first time in English literature he united the pictureness of Scott with the exactness of Defoe. Careful workmanship and distinction of style made his books as delightful to the literary critic as to the schoolboy. No greater boon can be given to the young people than to make them acquainted with his stirring tales and charming essays. The next move against the liquor trade in this province is to be for the purpose of separating the sale of intoxicants from that of other articles of merchandise. The host of petitions presented in the Legislature yesterday is evidently the reconnaissance in force that is intended to precede the real attack. There are such reasons in favor of the change asked for that it has been adopted in many places. The temperance element has been having so much to say in shaping the laws here of late, too, that it is not unlikely that Quebec may before long be among them. There will be a great outcry from the Lancashire cotton spinners at the renewal of the proposal to levy a tax on cotton imports into India; but so long as the theory is held that India is governed for her own benefit and not for the advantage of England, one does not see how for the sake of English interests the administrators of Indian affairs can be restrained from doing what they say is absolutely necessary for India's welfare. At the same time, it is a severe blow to the Manchester school of free trade delivered in their tenderest spot: their pockets. Sir Charles H. Tupper appears by the reports to have been subjected to a good many interruptions at some of his British Columbia meetings. Liberals, when they feel they are getting the worst of the situation, have a weakness for resorting to such tactics. One of the worst interrupted meetings ever held in Canada was that in the Montreal drill shed, called by the Conservatives, just previous to the overthrow of the provincial Liberals in 1892. Before it Montreal had two Conservatives in the Legislature; after it she had six. The conduct of the Toronto Street Railway Co. in employing detectives to watch the judge and counsel conducting the boodling investigation is, to say the least of it, most extraordinary. When suspected persons employ detectives to investigate the private lives of the magistracy it is getting things down pretty fine, and a boodler has been correctly defined by a Montreal judge as the meanest kind of thief. Mr. Gigault's report on the success of the dairy industry in Denmark shows that Canada has yet abundant room for expansion in that direction. Close attention to the peculiarities of the English market is the first condition of success, and on this head the report contains suggestions to which Quebec farmers will do well to give heed. A vessel from Canada has been refused a permit to land cattle at Antwerp because of the prevalence of foot and mouth disease in this country. Either the cable has made a mistake or the man who gave the order did. The Belgian authorities seem to be imitating the British in crediting Canada with faults it does not possess. Another British warship is on its way to China. There must be quite a powerful British fleet now watching the progress of events at the principal Chinese ports. If Great Britain should feel called upon to interfere with the contestants, she would be able to intervene to some purpose."
"18960728","BRITISH LIVE STOCK Cooler Weather Brings Better Prices for Cattle BUT MARKET STILL LOW Details of the Market - Only Three to Three and a Half Cents Paid in Canada Can Make Money (From our own Correspondent) Liverpool, July 18 After fourteen days' dreadfully hot weather, a complete change in the atmospheric conditions now prevails almost generally throughout the Kingdom, and instead of sweltering under 87 to 90 in the shade, we are slipping on an extra coat and wondering how it can feel so cold at 65. The change has been decidedly beneficial to the meat and cattle trade, and although it only made itself apparent on Thursday, it seems likely to keep up for a few days. Values for cattle are from to 1c stronger, and lightweight beasts of good quality might have made 1c more. The run of stock, however, from Canada and the States, has, as a rule, been to the heavy side, and consequently it has not been possible to make the most of the change. Advices from London report a steadier demand at Deptford and a fair good clearance at Smithfield. This will give some encouragement to our Birkenhead operators and induce a more active demand. Altogether the prospect is not so bad, and if exporters can now buy suitable stock at 3c to 3½c, and ship them on a 40s or 42s 6d freight, they can stand our markets with some degree of composure. LONDON DEPTFORD Monday's supply of 3,535 beasts, compared with Monday last, showed an increase of 937 head, and consisted of 1,710 from the States, 1,864 from Canada (the largest consignment this season), and 431 from South America. Owing to the large number on offer, combined with the hot weather, trade was very dull, rates being fully 1d per lb in favor of buyers for prime quality, and a still further decline for seconds, at which sales had to be forced and a clearance was almost impossible. The very best States and Canadians made 2s 1½d to 3s per lb. Argentines nominally quoted at 2s 4d to 2s 6d. The sheep supply, amounting to 1,987, was 171 larger than on Monday last, and consisted of shipments from Argentina. Trade was steady with an earlier clearance than usual. Best pens made 3s 1½d per 8 lbs. The following were the numbers on offer on the corresponding day, with the current top rates: Beasts, 2,873, 3s 10d to 3s 11d per 8 lbs; sheep, 4,115, 3s 10d to 4s per 8 lbs. On Thursday trade improved remarkably owing to the clearance reported at Smithfield (but forced at shocking prices) and the cooler weather following upon the heavy torrential rains pretty general over the country. The supply consisted of 1,538 States and 337 Canadian cattle. This did not, however, include all arrivals, a good many being kept in reserve for Monday and also to fill any requirements on Friday, Saturday or Sunday, the demand at times for extra orders occasionally helping out a bad sale on Thursday. Some good States and Canadians made up to 4½d, say 9c, but the current top rate for fair to good bullocks was 9c. No Argentines on offer. The sheep trade was quite active the short supply (900 South Americans and 57 Canadians) enabling sellers to put up the price to 6d (12½c) for picked pens of Argentines, the average of sales as they ran was quite 12c. The Canadian sheep were not a gilt-edged lot, and at 1s 1d (11½c) were well sold. A very much better trade is looked for next week, as the offerings are not likely to be too weighty."
"18961023","CABLE NOTES Increased Turkish Taxation Snowfalls in Great Britain, CONSTANTINOPLE, October 22 An irade has been issued levying a poll tax of five piasters per head on all Mussulmans and in easing the rates on sheep, public works and education by one to one and a half per cent. These taxes, with the revenue from the five projected monopolies, will, it is estimated, produce 1,200,000 which will be used for military purposes. London, October 22 It is announced that the Dublin Freeman of today will contain John Dillon's appeal to Irishmen throughout the world for funds to carry out the intentions of the recent Dublin convention. Berlin, October 22 The Emperor and Empress returned to Potsdam at 8 o'clock this morning from their visit to Wiesbaden and Darmstadt. London, October 22 Heavy snowstorms are reported in the North of England and Scotland. London, October 22 A despatch to the Times from Melbourne, Victoria, says that experts have been sent to the United States by Queensland to report upon Texas fever in cattle, which is identical with a disease caused by a Queensland insect like a tick. ROME, October 23 Torrential rains have fallen throughout Upper Italy and all rail trains are delayed in consequence. High tides have prevailed in the Venice districts. The Grand Canal at Venice has overflowed into the Piazza St Mark, submerging it to the depth of two feet. Paris, October 22 The Grand Duke Vladimir, on arriving in this city today, received the following despatch from the Czar, who is at Darmstadt: ""We are enjoying well-earned rest under the hospital roof of the Tyrants of Hesse."" (Signed) Nikolai. The French newspapers assert that this telegram throws valuable light upon the condition of the Czar's spirit and the newspapers add that it proves his brain is not taunted by grave considerations after talking with Emperor William of Germany at Wiesbaden. Peking, October 22 An American syndicate will advance 30,000,000 taels for the construction of the Hankow-Peking Railroad. The line will be 700 miles long and will cross 27 rivers, including the Whang Ho, all of which will be bridged. The entire works will be transferred to the syndicate, but the shares of the Company will ostensibly be held by China. Sydney, N.S."
"18970514","JUBILEE HELPS PRICES Butchers Take Advantage of It to Mark Up Their Goods - The Leading Market (From our own correspondent Liverpool, May 1) The general course of business in the principal open markets of the country is, on the whole, satisfactory, and for the best descriptions of cattle and sheep prices are well sustained. Lambs are coming forward more plentifully, but their condition is below the average, owing to the bleak weather experienced for some weeks back. As regards imported stock sales this week show a slight falling off in values - Glasgow values perhaps excepted, partly due to the heavy supplies and partly owing to the weather, which, for a couple of days, was very thundery and accompanied by torrential showers. So far as can be estimated the outlook for this season is still favorable to the Canadian exporter, as all the conditions that lead up to good markets are everywhere noticeable. These may again be briefly stated here, although I have already referred to them. To begin with, the war is virtually over, and although this may seem a very remote contingency or disturbing element in connection with our Canadian cattle shipping still, as affecting business generally, it must be taken into account. Then the supplies of native cattle and sheep are very moderate; indeed, in some districts there is a shortage on both, while the quality of native mutton is admittedly below the average. In the industrial centres an unusually active state of affairs is reported, the shipbuilding, engineering, iron and coal industries particularly enjoying the benefit of big orders in hand. These branches cover a wide area of industrial England including, of course, Scotland and Wales. The manufacturing districts in Lancashire, the Midland Counties, with Birmingham, Leicester and Sheffield thrown in, all report trade satisfactory, which is about as much as the phlegmatic Britisher can be brought to admit, even if he is coining money. Arthur Soavn, the diamond jubilee commemoration is expected to bring an extra million of people to the capital, and as they must bring with them at least a tenner, that means a wonderful addition to the turnover of the London shopkeeper. Of course the tenner will not be all spent in meat and drink, but a share of it must go to the hotel, restaurant, or boarding-house keeper, and thus indirectly to the butcher and baker. Already the astute, far-seeing carver of carcasses is putting his prices up on the score of its being jubilee year, you know, and if a customer wants to know why such an event should offer good and sufficient cause for adding a penny per pound to his meat, he is informed with a mysterious air that things are awful dear to buy, especially the extra choice meat as I have to get for such customers as you. Here is a specimen letter from the London Echo: BUTCHERS AND BEEF Sir, The butcher with whom I have been dealing for the past few years has raised all his beef 1d a pound, and gives as his reason for doing so that it is the Jubilee year. I cannot but think it would be a matter of public interest to know if this sort of imposition is to be general in this heavily-burdened and long-suffering metropolis. I am, sir, your obedient servant. Now, if the butcher is going to raise his price, the wholesale man is not above doing the same, and in turn why should not the live stock salesman get another half sovereign for his client, the Canadian exporter, who has in days gone by put many a fiver in the pockets of them all. Thus it goes round. John Bull is to pay more for his bit of meat, and all those interested in shipping it, slaughtering it, selling it, and serving it, have to be helped out of it. And now we infer from all the different items set forth above that the export season should be good, and that from the Manitoba ranches in the lovely Northwest to the sunny-faced butcher in the crowded quarters of Liverpool, Manchester, London and Glasgow, there will be the happiest possible recollections of Her Gracious Majesty's wonderful reign. The picture is so bright and cheerful one can hardly think it possible there is another side to it. And yet there is. I forbear, however, from dwelling on it, simply contenting myself by remarking that freights on United States cattle have jumped up 10s a head already, which would suggest that somebody else was going to have a bit out of the jubilee profit besides the butcher and the cattle exporter and not a little bit either."
"18971227","THE SMITHFIELD SHOW: Details of Leading Markets The Putchers' Boycott Canadians at Glasgow (From our own correspondent) Liverpool, December 11 With fierce gales off the land and off the sea, with torrential showers, hail and rain almost daily, we have had a rough time of it during the past week. Business has not benefited thereby; quite the contrary. Our country markets have been filling up with cattle and sheep in anticipation of the Christmas demand, while the usual attractive shows and sales of Christmas fat stock have kept many buyers away from Birkenhead, who will, however, probably find their way back after the festive season is over. While the country demand has thus been cut off to a considerable extent, our London customers have been buying pretty strong, the supplies at Deptford for the past ten days having been below the average. The worst of this London trade, however, is they want to buy all our choice beef, and when they get served, there is some difficulty in selling out the secondary and third class bodies left. Still, things keep moving along, and salesmen would not feel comfortable if they had nothing to grumble about."
"18980629","AUGUSTI'S POSITION He Cables the Madrid Government That It Is Grave HEKMED IN BY INSURGENTS Difficulties of Defence Are Increasing Provinces Are Deserting to Join the Insurgents Many Men Sick Madrid, June 28 The Government has received the following despatch from Captain-General Augusti, dated from Manila on June 23: ""The situation is still grave I continue to maintain my position inside the line of block houses; but the enemy is increasing in numbers, as the rebels occupy the provinces, which are surrendering. Torrential rains are inundating the entrenchments, rendering the work of defence difficult. The numbers of sick among the troops are increasing, making the situation very distressing, and causing increased desertions of the native soldiers. It is estimated that the insurgents number 30,000 armed with rifles, and 100,000 armed with swords, etc. Aguinaldo has summoned me to surrender but I have treated his proposals with disdain, for I am resolved to maintain the sovereignty of Spain and the honor of the king to the last extremity. I have over one thousand sick and 200 wounded. The citadel has been invaded by the suburban inhabitants, who have abandoned their homes owing to the barbarity of the rebels. These inhabitants constitute an embarrassment, aggravating the situation, in view of the bombardment, which, however, is not seriously apprehended for the moment. The Governor of the Visayas and Mindanao Islands cables that he has defeated the insurgents in an engagement during which Chief Arec, Aguinaldo's representative, was killed. He adds that tranquility now prevails throughout these islands, and he further asserts that the principal Malay chiefs of the Mindanao group declare they desire to fight on the side of the Spaniards. Madrid, June 28 Advices from Manila state that Captain-General Augusti's family is still in the hands of the insurgents. General Pena, with a thousand soldiers, has surrendered. His soldiers, most of whom were natives, joined the insurgents. A majority of the detachments in the Island of Luzon have surrendered owing to their lack of food, though some succeeded in escaping. Numerous Spaniards, including the Governors of Uatanga, Laguna and Dulacana, have taken refuge at Cavite. The rebels who are besieging Manila exceed 25,000 men. The city is completely isolated, and the arrival of the Spanish squadron is anxiously awaited, for the position of Manila is untenable. Small rebel craft navigate the bay, conveying prisoners to Cavite."
