Infrastructural Impact,Political Impact,Financial impact,Ecological Impact,Agricultural Impact,Human Health Impact,Date,ID,LabelledBy,Weather,Type
1,0,0,0,0,1,18800116,0,Micheal,storm,historical
0,0,0,0,0,0,18800120,1,Micheal,storm,historical
0,0,0,0,0,1,18800121,2,Micheal,storm,historical
1,0,0,0,1,0,18800219,3,Micheal,snowstorm,historical
1,0,0,0,0,0,18800403,4,Micheal,rainstorm,historical
0,0,0,0,0,0,18800408,5,Micheal,storm,historical
1,0,0,0,0,0,18800415,6,Micheal,storm,historical
1,0,1,1,0,1,18830312,7,Micheal,storm,historical
1,1,1,1,0,1,18940213,8,Micheal,storm,historical
1,0,0,0,1,1,18950819,9,Micheal,storm,historical
0,0,0,0,0,1,18930710,10,Micheal,storm,historical
1,0,1,1,1,1,18920615,11,Micheal,storm,historical
1,1,1,1,0,1,18920223,12,Micheal,rainstorm,historical
1,0,1,0,0,1,18910908,13,Micheal,storm,historical
1,0,0,0,1,0,18961014,14,Micheal,storm,historical
1,0,1,1,1,1,18930830,15,Micheal,rain,historical
1,0,0,0,0,1,18860106,16,Micheal,rain,historical
1,0,1,0,1,1,18950819,17,Micheal,rain,historical
1,0,0,1,1,1,18890805,18,Micheal,rain,historical
1,0,1,0,0,1,18830205,19,Micheal,rain,historical
0,0,1,0,1,1,18880903,20,Micheal,rain,historical
1,0,1,0,0,1,18840912,21,Micheal,rain & floods,historical
1,0,1,0,1,0,18841230,22,Micheal,rain & floods,historical
1,0,0,1,1,0,18900206,23,Micheal,rain & floods,historical
1,1,1,0,0,0,18951011,24,Micheal,rain,historical
0,0,0,0,0,0,18980623,25,Micheal,rain,historical
1,1,1,1,1,1,18940213,26,Micheal,snow,historical
1,0,1,0,1,1,18980207,27,Micheal,snow,historical
0,0,1,0,1,0,18950515,28,Micheal,snow,historical
1,1,1,0,0,1,18981128,29,Micheal,snow,historical
1,0,1,0,1,1,18981124,30,Micheal,snow,historical
1,0,1,0,1,0,18820222,31,Micheal,snow,historical
1,0,1,0,1,1,18860123,32,Micheal,snow,historical
1,0,1,0,1,1,18830321,33,Micheal,none,historical
1,1,1,0,0,1,18870329,34,Micheal,snow,historical
1,1,0,0,0,1,18870301,35,Micheal,snow,historical
1,0,0,1,0,0,18890408,36,Micheal,snow,historical
1,0,1,0,1,1,18860205,37,Micheal,snow,historical
1,0,0,0,1,0,18950515,38,Micheal,ice,historical
1,0,1,0,1,1,18850404,39,Micheal,ice,historical
1,0,1,0,0,0,18980321,40,Micheal,ice & floods,historical
1,0,1,0,0,1,18841107,41,Micheal,ice & storm,historical
1,0,1,1,0,0,18960101,42,Micheal,ice,historical
1,1,1,0,0,0,18870822,43,Micheal,ice & floods,historical
1,1,1,1,1,1,18860419,44,Micheal,floods,historical
1,1,0,1,0,1,18860407,45,Micheal,ice,historical
1,1,1,1,0,1,18870425,46,Micheal,ice or flood?,historical
1,0,1,0,0,0,18990114,47,Micheal,torrential,historical
1,0,0,0,0,1,18981019,48,Micheal,torrential,historical
1,0,0,0,1,0,18990925,49,Micheal,torrential,historical
1,0,0,0,0,1,18800623,50,Micheal,torrential,historical
1,0,0,0,0,0,18961023,51,Micheal,torrential,historical
0,0,1,0,0,0,18971227,52,Micheal,torrential,historical
1,0,1,1,0,1,18841107,53,Micheal,storm,historical
1,0,0,0,0,0,18901203,54,Micheal,snowstorm,historical
1,0,1,1,0,1,18910310,55,Micheal,snowstorm & rain,historical
1,0,1,0,0,1,18911214,56,Micheal,storm,historical
1,0,0,0,0,0,18990109,57,Micheal,snowstorm,historical
1,0,1,1,1,0,18820222,58,Micheal,storm,historical
