Infrastructural Impact,Political Impact,Financial impact,Ecological Impact,Agricultural Impact,Human Health Impact,Date,ID,LabelledBy,Weather,Type
1,0,0,0,0,1.0,18800116,0,Micheal,storm,historical
0,0,0,0,0,0.0,18800120,1,Micheal,storm,historical
0,0,0,0,0,1.0,18800121,2,Micheal,storm,historical
1,0,0,0,1,0.0,18800219,3,Micheal,snowstorm,historical
1,0,0,0,0,0.0,18800403,4,Micheal,rainstorm,historical
0,0,0,0,0,0.0,18800408,5,Micheal,storm,historical
1,0,0,0,0,0.0,18800415,6,Micheal,storm,historical
0,0,0,1,0,0.0,18830312,7,Micheal,storm,historical
0,0,0,0,0,0.0,18830312,7,Micheal,storm,historical
0,0,0,0,0,0.0,18830312,7,Micheal,storm,historical
0,0,0,0,0,0.0,18830312,7,Micheal,storm,historical
0,0,1,0,0,0.0,18830312,7,Micheal,storm,historical
1,0,0,0,0,0.0,18830312,7,Micheal,Earthquake,historical
0,0,0,0,0,1.0,18830312,7,Micheal,storm,historical
0,0,0,0,0,0.0,18830312,7,Micheal,storm,historical
1,0,1,0,0,0.0,18830312,7,Micheal,storm,historical
0,0,0,0,0,0.0,18830312,7,Micheal,storm,historical
1,1,1,0,0,0.0,18940213,8,Micheal,storm,historical
1,1,0,0,0,0.0,18940213,8,Micheal,floods,historical
0,0,0,0,0,0.0,18940213,8,Micheal,floods,historical
1,1,1,1,0,1.0,18940213,8,Micheal,floods,historical
0,1,0,0,0,0.0,18940213,8,Micheal,storm,historical
0,0,0,0,0,0.0,18940213,8,Micheal,storm,historical
1,1,1,0,0,0.0,18940213,8,Micheal,storm,historical
0,0,0,0,0,0.0,18940213,8,Micheal,storm,historical
0,0,0,0,0,0.0,18940213,8,Micheal,storm,historical
1,0,0,0,1,1.0,18950819,9,Micheal,storm,historical
0,0,0,0,0,1.0,18930710,10,Micheal,storm,historical
1,0,0,0,0,1.0,18920615,11,Micheal,storm,historical
1,0,0,0,0,1.0,18920615,11,Micheal,storm & Floods,historical
1,0,0,0,0,1.0,18920615,11,Micheal,storm,historical
1,0,0,0,0,0.0,18920615,11,Micheal,storm,historical
1,0,0,1,0,0.0,18920615,11,Micheal,storm,historical
0,0,0,0,0,0.0,18920615,11,Micheal,storm,historical
0,0,0,0,0,0.0,18920615,11,Micheal,storm,historical
0,0,0,0,0,0.0,18920615,11,Micheal,storm,historical
0,0,0,0,0,0.0,18920615,11,Micheal,storm,historical
1,0,0,0,0,0.0,18920615,11,Micheal,storm,historical
1,0,1,0,0,0.0,18920615,11,Micheal,storm,historical
1,0,0,1,1,0.0,18920615,11,Micheal,storm,historical
0,0,0,0,0,0.0,18920615,11,Micheal,storm,historical
1,0,0,0,0,0.0,18920223,12,Micheal,rainstorm,historical
0,1,0,0,0,0.0,18920223,12,Micheal,floods,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,1,0,0,0,0.0,18920223,12,Micheal,floods,historical
0,1,0,0,0,0.0,18920223,12,Micheal,floods,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
0,0,0,0,0,0.0,18920223,12,Micheal,none,historical
