ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact
0,18800116,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,0,1
1,18800120,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,1,0,0,0
2,18800121,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,0,0
3,18800219,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,0,0
4,18800403,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,0,0
5,18800408,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
6,18800415,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
7,18830312,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
8,18940213,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,1,1
9,18950819,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,0,1
10,18930710,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,1,0
11,18920615,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,1,1
12,18920223,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
13,18910908,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,1,1
14,18961014,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,0
15,18930830,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,0,0
16,18860106,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
17,18950819,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,0,0,0
18,18890805,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,0,0
19,18830205,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,1
20,18880903,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,1,0
21,18840912,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,1,0
22,18841230,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,0,0
23,18900206,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,0,1
24,18951011,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
25,18980623,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,0,0
26,18940213,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
27,18980207,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,0
28,18950515,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,0,0
29,18981128,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
30,18981124,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,0,0
31,18820222,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
32,18860123,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,0,0,0
33,18830321,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,1
34,18870329,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,1,1
35,18870301,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,0,1
36,18890408,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
37,18860205,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,1,1
38,18950515,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,0,0,0
39,18850404,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
40,18980321,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
41,18841107,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
42,18960101,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,0
43,18870822,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,0,0,1
44,18860419,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,1
45,18860407,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,0,0
46,18870425,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
47,18990114,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,0,0
48,18981019,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,1,0
49,18990925,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,0,0,0
50,18800623,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,1,1
51,18961023,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,0
52,18971227,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,0,0
53,18841107,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
54,18901203,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
55,18910310,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,0
56,18911214,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,0
57,18990109,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
58,18820222,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
59,18981124,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
60,18871229,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
61,18840128,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,1,0
62,18840303,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,0,0
63,18940213,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,0
64,18910127,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,0,0
65,18940410,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,0,0
66,18940217,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,0,0,0
67,18981128,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,0
68,18860423,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
69,18860125,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,1,1
70,18970625,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
71,18930314,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
72,18860426,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
73,18850427,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,0,0
74,18830607,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,0
75,18971130,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
76,18940612,historical,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,0,1
77,18880927,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
78,18990510,historical,meta-llama/Llama-3.1-8B-Instruct,0,1,0,0,0,0
79,18950417,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
80,18870423,historical,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
81,18860116,historical,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,1
82,19980109,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,1
83,20001106,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
84,19980124,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,1,1
85,20040906,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,1,1
86,20080424,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,0,1
87,19980114,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
88,19960724,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
89,19930731,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,1,1
90,20000715,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
91,20070626,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
92,20061203,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,1,1
93,19990108,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
94,19980912,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
95,20080105,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,0,1
96,19951006,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,1
97,20020821,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,1,1
98,19901112,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,0,1
99,19901222,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,1,0,1
100,19931113,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,0,1
101,19900422,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,0,0,1
102,19910317,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,0,1,1
103,19950630,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,0,0,0,1
104,19990522,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,0,0,1
105,19970419,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,1,1,1
106,19980502,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,1,0,1
107,19920330,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,1,1,1
108,19980404,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,0,0,1
109,19921010,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,0,0,1
110,19940219,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,1,0,1
111,19900624,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,1,1
112,19900422,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,0,0,1
113,19900616,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,1
114,19901215,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,0,0,1
