LabelledBy,ID,Remove,Date,Type,Weather,Infrastructural Impact,Political Impact,Financial Impact,Ecological Impact,Agricultural Impact,Human Health Impact,,
Micheal,0,0,18800116,historical,storm,1,0,0,0,0,1,,
Micheal,1,0,18800120,historical,storm,0,0,0,0,0,0,,
Micheal,2,0,18800121,historical,storm,0,0,0,0,0,1,,
Micheal,3,0,18800219,historical,storm,1,0,0,0,1,0,,
Micheal,4,0,18800403,historical,storm,1,0,0,0,0,0,,
Micheal,5,0,18800408,historical,storm,0,0,0,0,0,0,,
Micheal,6,0,18800415,historical,storm,1,0,0,0,0,0,,
Micheal,7,0,18830312,historical,storm,1,0,1,1,0,1,,
Micheal,8,0,18940213,historical,storm,1,1,1,1,0,1,,
Micheal,9,0,18950819,historical,storm,1,0,0,0,1,1,,
Micheal,10,0,18930710,historical,storm,0,0,0,0,0,1,,
Micheal,11,0,18920615,historical,storm,1,0,1,1,1,1,,
Micheal,12,0,18920223,historical,storm,1,1,1,1,0,1,,
Micheal,13,0,18910908,historical,storm,1,0,1,0,0,1,,
Micheal,14,0,18961014,historical,storm,1,0,0,0,1,0,,
Micheal,15,0,18930830,historical,rain,1,0,1,1,1,1,,
Micheal,16,0,18860106,historical,rain,1,0,0,0,0,1,,
Micheal,17,0,18950819,historical,rain,1,0,1,0,1,1,,
Micheal,18,0,18890805,historical,rain,1,0,0,1,1,1,,
Micheal,19,0,18830205,historical,rain,1,0,1,0,0,1,,
Micheal,20,0,18880903,historical,rain,0,0,1,0,1,1,,
Micheal,21,0,18840912,historical,rain,1,0,1,0,0,1,,
Micheal,22,0,18841230,historical,rain,1,0,1,0,1,0,,
Micheal,23,0,18900206,historical,rain,1,0,0,1,1,0,,
Micheal,24,0,18951011,historical,rain,1,1,1,0,0,0,,
Micheal,25,0,18980623,historical,rain,0,0,0,0,0,0,,
Micheal,26,0,18940213,historical,snow,1,1,1,1,1,1,,
Micheal,27,0,18980207,historical,snow,1,0,1,0,1,1,,
Micheal,28,0,18950515,historical,snow,0,0,1,0,1,0,,
Micheal,29,0,18981128,historical,snow,1,1,1,0,0,1,,
Micheal,30,0,18981124,historical,snow,1,0,1,0,1,1,,
Micheal,31,0,18820222,historical,snow,1,0,1,0,1,0,,
Micheal,32,0,18860123,historical,snow,1,0,1,0,1,1,,
Micheal,33,0,18830321,historical,snow,1,0,1,0,1,1,,NOT RELATED TO WEATHER!!!
Micheal,34,0,18870329,historical,snow,1,1,1,0,0,1,,
Micheal,35,0,18870301,historical,snow,1,1,0,0,0,1,,
Micheal,36,0,18890408,historical,snow,1,0,0,1,0,0,,
Micheal,37,0,18860205,historical,snow,1,0,1,0,1,1,,
