Model_Type,Type,Version,Shot,Metric,Infrastructural impact,Political impact,Financial impact,Ecological impact,Agricultural impact,Human health impact
deepseek_chat,historical,350,oneshot,Accuracy,81,92,75,79,80,78
gemma_2-9b,historical,350,oneshot,Accuracy,73.8693,73.8693,57.2864,67.8392,68.8442,71.3568
gpt_3.5_turbo,historical,350,oneshot,Accuracy,77,81,60,64,73.5,75
gpt_4o,historical,350,oneshot,Accuracy,81.5,93,72.5,81,81.5,79.5
gpt_4,historical,350,oneshot,Accuracy,80,77,61.5,77.5,76.5,71.5
llama,historical,350,oneshot,Accuracy,77.5,72,56.5,79,72,70
Mistral-Small-24B,historical,350,oneshot,Accuracy,78.8945,87.4372,72.8643,78.8945,75.8794,70.3518
mixtral,historical,350,oneshot,Accuracy,73,83,63,71,72,70.5
Qwen_2.5_7B,historical,350,oneshot,Accuracy,68.5,87.5,54.5,53.5,79,54.5
deepseek_chat,historical,1300,oneshot,Accuracy,82.5,92,76.5,78.5,82,79
gemma_2-9b,historical,1300,oneshot,Accuracy,73.5,72,55.5,66,72,69.5
gpt_3.5_turbo,historical,1300,oneshot,Accuracy,80.5,84,67,72.5,76,75
gpt_4o,historical,1300,oneshot,Accuracy,82,93.5,73,79.5,80.5,81
gpt_4,historical,1300,oneshot,Accuracy,80,75.5,61,79,78,73.5
llama,historical,1300,oneshot,Accuracy,77.5,76,59,75.5,71,72
Mistral-Small-24B,historical,1300,oneshot,Accuracy,79.5,88,73.5,81.5,79.5,70
mixtral,historical,1300,oneshot,Accuracy,78.5,82,65.5,80,75,78.5
Qwen_2.5_7B,historical,1300,oneshot,Accuracy,69.5,89,56.5,49,77.5,60
,,,,,,,,,,
deepseek_chat,modern,350,oneshot,Accuracy,79.5918,77.551,83.6735,80.9524,87.7551,77.551
gemma_2-9b,modern,350,oneshot,Accuracy,65.9864,65.3061,46.2585,55.7823,76.1905,65.3061
gpt_3.5_turbo,modern,350,oneshot,Accuracy,68.7075,63.9456,48.9796,59.1837,82.3129,68.7075
gpt_4o,modern,350,oneshot,Accuracy,76.1905,73.4694,77.551,78.2313,89.7959,80.9524
gpt_4,modern,350,oneshot,Accuracy,58.5034,61.9048,60.5442,82.3129,82.9932,65.9864
llama,modern,350,oneshot,Accuracy,69.3878,54.4218,55.102,74.1497,78.2313,68.0272
Mistral-Small-24B,modern,350,oneshot,Accuracy,74.1497,72.7891,80.2721,78.2313,85.7143,72.1088
mixtral,modern,350,oneshot,Accuracy,68.7075,68.0272,65.9864,74.8299,79.5918,60.5442
Qwen_2.5_7B,modern,350,oneshot,Accuracy,70.7483,75.5102,74.8299,75.5102,85.034,68.7075
