ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact
82,19980109,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,1,1,0,1
83,20001106,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,1,1,0
84,19980124,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,1,1,1,1
85,20040906,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,0,1,0
86,20080424,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,1,0,1
87,19980114,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,1,1,1
88,19960724,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,1,1,1,1
89,19930731,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,1,0,0,1,0
90,20000715,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,0,1,1
91,20070626,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,1,1,0
92,20061203,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,0,1,0
93,19990108,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,0,1,1
94,19980912,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,1,1,1,0
95,20080105,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,0,1,0
96,19951006,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,1,1,0
97,20020821,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,1,1,1,0,0
98,19901112,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,1,0,1,1,0
99,19901222,modern,mistralai/Mistral-Small-24B-Instruct-2501,0.0,1,1,1,0,1
100,19931113,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,1,1,1,0,1
101,19900422,modern,mistralai/Mistral-Small-24B-Instruct-2501,0.0,1,1,0,0,1
102,19910317,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,0,0,1,0
103,19950630,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,0,1,1,0,0
104,19990522,modern,mistralai/Mistral-Small-24B-Instruct-2501,0.0,1,1,0,0,0
105,19970419,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,1,1,1,0,1
106,19980502,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,1,0,1,1,1
107,19920330,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,1,0,1,1,0
108,19980404,modern,mistralai/Mistral-Small-24B-Instruct-2501,1.0,1,1,0,1,1
109,19921010,modern,mistralai/Mistral-Small-24B-Instruct-2501,0.0,1,1,0,0,0
