ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,0,1
83,20001106,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,0,1
84,19980124,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,1
85,20040906,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
86,20080424,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
87,19980114,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,0,1
88,19960724,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,0,1
89,19930731,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,0
90,20000715,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,1,0
91,20070626,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,1
92,20061203,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
93,19990108,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
94,19980912,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
95,20080105,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,1
96,19951006,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,0
97,20020821,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,0,0
98,19901112,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,0,0
99,19901222,modern,Qwen/Qwen2.5-7B-Instruct,0,1,1,1,0,0
100,19931113,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
101,19900422,modern,Qwen/Qwen2.5-7B-Instruct,0,0,1,0,0,0
102,19910317,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
103,19950630,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
104,19990522,modern,Qwen/Qwen2.5-7B-Instruct,0,1,1,0,0,0
105,19970419,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
106,19980502,modern,Qwen/Qwen2.5-7B-Instruct,0,1,1,0,0,0
107,19920330,modern,Qwen/Qwen2.5-7B-Instruct,0,1,1,0,0,0
108,19980404,modern,Qwen/Qwen2.5-7B-Instruct,0,0,1,0,0,0
109,19921010,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
110,19940219,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,0
111,19900624,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
112,19900422,modern,Qwen/Qwen2.5-7B-Instruct,0,0,1,0,0,0
113,19900616,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
114,19901215,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
115,19900421,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
116,19900513,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
117,19930711,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
118,20060802,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,1,0
119,20070626,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,0
120,20030628,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
121,19950618,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,0
122,20020819,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
123,19930708,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
124,19950614,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,0
125,19901205,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
126,20090108,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
127,20000413,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
128,19910302,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
129,19930318,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
130,19970625,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,0
131,20080109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
132,19940318,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
133,19990117,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
134,19951231,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,0,0,0
135,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,0,0
136,19931226,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
137,20071222,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,1
138,19990710,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,0
181,19900301,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
182,19911204,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
183,19900103,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
184,20090408,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
185,20020304,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
186,19971122,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
187,19930112,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
188,19910130,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
189,19981022,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
190,20100125,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
191,19970911,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
192,19900320,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,1,0
193,19900816,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
194,19900205,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
195,19900812,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,0,0
196,19910612,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
197,19910707,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
198,19911112,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
199,19920204,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
200,19920510,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
201,19920813,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
202,19920824,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
203,19920928,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
204,19930408,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
205,19900318,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
206,19900408,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
216,19920628,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
217,19970716,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
218,19980522,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
219,19900622,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
220,19900622,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
221,19970719,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,1
222,19920216,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,0
223,19980816,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,0,0,1
224,20001110,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,0,1,1
225,19960725,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
226,20070722,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,1
227,19930730,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
228,19970510,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,0,0,1
229,19961204,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,1,0
230,19961017,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
231,20080630,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,1
232,19961228,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,0,0
233,20001123,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
234,19900129,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
235,19980124,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,1
236,19980107,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,1,0
237,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,0,1
238,19990203,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,1,0
239,20080105,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,0,0,0
240,20071223,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
241,19921115,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
242,20020201,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
243,19980115,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,1
244,19980118,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,1,0
245,19970106,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
246,20070113,modern,Qwen/Qwen2.5-7B-Instruct,0,0,1,0,0,0
275,19920709,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
276,19950518,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
277,19930724,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,0,0
278,19960726,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,1
279,19901103,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
280,20070627,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,0
281,19910825,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
282,20050102,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,1,1,0
283,19910801,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
284,19941118,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
285,19900825,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,1,0,0
286,20010411,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
287,20060103,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
288,20101208,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
322,19900224,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
323,19900327,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
324,19900409,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
325,19900301,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
326,19900108,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
327,20070501,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
328,19920413,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
329,19930218,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
336,19910523,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
337,19910724,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
338,19920616,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
339,19930626,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
340,19941025,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
341,19950717,modern,Qwen/Qwen2.5-7B-Instruct,1,0,1,0,1,0
342,19960720,modern,Qwen/Qwen2.5-7B-Instruct,0,1,0,0,0,0
343,19970620,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
344,19900323,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
345,19900106,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
346,19900131,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
347,19900411,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
348,19900228,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
349,19900120,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
350,20000129,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
