ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,1,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,1,0,1
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,1
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,1,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,1
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,1
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,1,1,1,1,1
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,0,0,0,0,0,0
82,19980109,modern,Qwen/Qwen2.5-7B-Instruct,1,0,0,0,0,0
