ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Health impact,Political impact
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,1,0,0
82,19980109,modern,deepseek-chat,1,0,0,1,0,0
82,19980109,modern,deepseek-chat,1,0,0,1,0,0
82,19980109,modern,deepseek-chat,0,0,0,1,0,0
82,19980109,modern,deepseek-chat,1,0,0,1,0,1
82,19980109,modern,deepseek-chat,1,0,0,0,0,1
82,19980109,modern,deepseek-chat,1,1,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,1,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,1,0,1,0,0,0
82,19980109,modern,deepseek-chat,0,0,1,0,0,0
82,19980109,modern,deepseek-chat,0,0,1,0,0,0
82,19980109,modern,deepseek-chat,0,0,1,0,0,1
82,19980109,modern,deepseek-chat,0,0,1,0,0,0
82,19980109,modern,deepseek-chat,1,0,1,0,0,0
82,19980109,modern,deepseek-chat,1,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
82,19980109,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,1,0,0,1,0,1
83,20001106,modern,deepseek-chat,1,0,0,1,0,0
83,20001106,modern,deepseek-chat,1,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,1,0,0,0,1,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
83,20001106,modern,deepseek-chat,0,0,0,0,0,0
