ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact
0,18800116,historical,google/gemma-2-9b-it,1,0,1,1,0,1
1,18800120,historical,google/gemma-2-9b-it,1,1,1,1,1,1
2,18800121,historical,google/gemma-2-9b-it,1,1,0,1,1,0
3,18800219,historical,google/gemma-2-9b-it,1,1,0,1,0,0
4,18800403,historical,google/gemma-2-9b-it,1,1,1,1,0,0
5,18800408,historical,google/gemma-2-9b-it,1,0,0,0,1,0
6,18800415,historical,google/gemma-2-9b-it,1,1,1,1,1,1
7,18830312,historical,google/gemma-2-9b-it,1,1,1,1,1,1
7,18830312,historical,google/gemma-2-9b-it,0,0,0,0,0,1
7,18830312,historical,google/gemma-2-9b-it,0,0,0,0,0,1
7,18830312,historical,google/gemma-2-9b-it,0,0,0,0,0,0
7,18830312,historical,google/gemma-2-9b-it,0,0,0,1,0,0
7,18830312,historical,google/gemma-2-9b-it,1,0,0,0,0,0
7,18830312,historical,google/gemma-2-9b-it,0,0,0,0,0,0
7,18830312,historical,google/gemma-2-9b-it,0,0,0,0,0,0
7,18830312,historical,google/gemma-2-9b-it,1,0,0,0,0,0
7,18830312,historical,google/gemma-2-9b-it,0,0,0,0,0,0
8,18940213,historical,google/gemma-2-9b-it,1,0,0,1,0,1
8,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,1
8,18940213,historical,google/gemma-2-9b-it,1,0,1,1,0,1
8,18940213,historical,google/gemma-2-9b-it,1,0,0,1,0,1
8,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
8,18940213,historical,google/gemma-2-9b-it,1,0,0,1,0,1
8,18940213,historical,google/gemma-2-9b-it,1,0,0,1,0,1
8,18940213,historical,google/gemma-2-9b-it,0,0,0,0,0,0
8,18940213,historical,google/gemma-2-9b-it,0,0,0,0,0,0
9,18950819,historical,google/gemma-2-9b-it,1,1,1,1,1,0
10,18930710,historical,google/gemma-2-9b-it,1,1,1,1,1,1
11,18920615,historical,google/gemma-2-9b-it,1,0,0,0,1,0
11,18920615,historical,google/gemma-2-9b-it,1,0,0,1,1,0
11,18920615,historical,google/gemma-2-9b-it,1,0,0,0,1,0
11,18920615,historical,google/gemma-2-9b-it,1,0,0,0,0,0
11,18920615,historical,google/gemma-2-9b-it,1,1,0,0,0,0
11,18920615,historical,google/gemma-2-9b-it,0,0,0,1,0,0
11,18920615,historical,google/gemma-2-9b-it,0,0,0,1,0,1
11,18920615,historical,google/gemma-2-9b-it,0,0,0,0,0,1
11,18920615,historical,google/gemma-2-9b-it,0,1,0,0,0,1
11,18920615,historical,google/gemma-2-9b-it,1,1,0,0,0,0
11,18920615,historical,google/gemma-2-9b-it,1,0,0,1,0,0
11,18920615,historical,google/gemma-2-9b-it,1,1,1,0,0,0
11,18920615,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,1,0,1,0,0,0
12,18920223,historical,google/gemma-2-9b-it,1,0,0,1,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,1,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,1,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,1,0
12,18920223,historical,google/gemma-2-9b-it,1,1,1,0,0,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,1,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,1,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,1,0,0,0,1,0
12,18920223,historical,google/gemma-2-9b-it,1,1,1,0,1,0
12,18920223,historical,google/gemma-2-9b-it,1,0,0,1,1,0
12,18920223,historical,google/gemma-2-9b-it,1,0,0,0,1,0
12,18920223,historical,google/gemma-2-9b-it,1,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,1,0,0
12,18920223,historical,google/gemma-2-9b-it,0,1,0,1,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,1,0
12,18920223,historical,google/gemma-2-9b-it,1,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,1,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,1,0,1,0,1,0
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,1,1
12,18920223,historical,google/gemma-2-9b-it,0,0,0,0,0,0
12,18920223,historical,google/gemma-2-9b-it,1,0,0,0,0,1
12,18920223,historical,google/gemma-2-9b-it,1,0,0,0,0,1
13,18910908,historical,google/gemma-2-9b-it,1,1,0,1,1,0
14,18961014,historical,google/gemma-2-9b-it,1,0,1,1,1,0
15,18930830,historical,google/gemma-2-9b-it,1,1,0,0,0,1
15,18930830,historical,google/gemma-2-9b-it,1,0,0,0,1,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,1,0,0
15,18930830,historical,google/gemma-2-9b-it,1,0,1,0,0,0
15,18930830,historical,google/gemma-2-9b-it,1,1,1,0,0,0
15,18930830,historical,google/gemma-2-9b-it,1,1,0,0,0,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,0,1,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,0,0,0
15,18930830,historical,google/gemma-2-9b-it,0,0,0,0,1,1
15,18930830,historical,google/gemma-2-9b-it,1,0,0,0,0,0
15,18930830,historical,google/gemma-2-9b-it,0,0,0,0,0,0
15,18930830,historical,google/gemma-2-9b-it,0,0,0,0,0,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,1,0,0
15,18930830,historical,google/gemma-2-9b-it,0,0,0,1,0,1
15,18930830,historical,google/gemma-2-9b-it,0,0,0,0,0,0
15,18930830,historical,google/gemma-2-9b-it,0,0,0,1,0,0
15,18930830,historical,google/gemma-2-9b-it,0,0,0,1,0,0
15,18930830,historical,google/gemma-2-9b-it,0,0,0,1,0,1
15,18930830,historical,google/gemma-2-9b-it,0,1,0,1,0,0
15,18930830,historical,google/gemma-2-9b-it,0,0,0,1,0,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,1,0,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,1,1,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,0,1,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,0,1,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,1,0,0
15,18930830,historical,google/gemma-2-9b-it,1,0,0,1,0,0
16,18860106,historical,google/gemma-2-9b-it,1,0,0,0,0,0
17,18950819,historical,google/gemma-2-9b-it,1,0,0,0,1,0
18,18890805,historical,google/gemma-2-9b-it,1,1,1,0,1,0
19,18830205,historical,google/gemma-2-9b-it,1,0,1,1,1,0
20,18880903,historical,google/gemma-2-9b-it,0,1,0,1,1,0
21,18840912,historical,google/gemma-2-9b-it,1,1,1,1,1,1
22,18841230,historical,google/gemma-2-9b-it,1,1,1,1,0,0
23,18900206,historical,google/gemma-2-9b-it,1,1,1,1,0,1
24,18951011,historical,google/gemma-2-9b-it,1,0,0,1,0,1
25,18980623,historical,google/gemma-2-9b-it,0,1,0,1,0,1
26,18940213,historical,google/gemma-2-9b-it,1,1,1,1,1,1
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,1,0,1,0
26,18940213,historical,google/gemma-2-9b-it,1,0,1,0,1,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,1,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,1,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,1,0
26,18940213,historical,google/gemma-2-9b-it,1,1,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,1,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,1,0
26,18940213,historical,google/gemma-2-9b-it,1,0,0,0,1,0
26,18940213,historical,google/gemma-2-9b-it,0,0,0,0,0,0
26,18940213,historical,google/gemma-2-9b-it,1,1,0,1,1,0
27,18980207,historical,google/gemma-2-9b-it,1,0,0,1,1,0
28,18950515,historical,google/gemma-2-9b-it,0,1,0,1,0,0
29,18981128,historical,google/gemma-2-9b-it,1,0,0,1,0,0
29,18981128,historical,google/gemma-2-9b-it,1,0,1,1,0,0
29,18981128,historical,google/gemma-2-9b-it,0,0,0,1,0,0
29,18981128,historical,google/gemma-2-9b-it,1,0,0,0,0,0
29,18981128,historical,google/gemma-2-9b-it,1,0,1,0,0,0
29,18981128,historical,google/gemma-2-9b-it,1,0,0,0,0,0
29,18981128,historical,google/gemma-2-9b-it,1,0,1,1,0,0
29,18981128,historical,google/gemma-2-9b-it,0,0,0,0,1,0
29,18981128,historical,google/gemma-2-9b-it,1,0,0,0,1,0
29,18981128,historical,google/gemma-2-9b-it,1,0,1,0,1,0
29,18981128,historical,google/gemma-2-9b-it,1,0,0,0,0,0
29,18981128,historical,google/gemma-2-9b-it,1,0,0,0,1,0
29,18981128,historical,google/gemma-2-9b-it,1,0,0,0,0,1
29,18981128,historical,google/gemma-2-9b-it,0,0,0,0,0,1
29,18981128,historical,google/gemma-2-9b-it,0,0,0,0,0,1
29,18981128,historical,google/gemma-2-9b-it,0,0,0,0,0,0
29,18981128,historical,google/gemma-2-9b-it,1,0,0,1,1,0
29,18981128,historical,google/gemma-2-9b-it,0,0,0,0,1,1
29,18981128,historical,google/gemma-2-9b-it,0,0,0,0,0,1
29,18981128,historical,google/gemma-2-9b-it,1,0,0,0,0,0
30,18981124,historical,google/gemma-2-9b-it,1,1,0,1,0,1
31,18820222,historical,google/gemma-2-9b-it,1,0,0,1,1,0
32,18860123,historical,google/gemma-2-9b-it,1,1,1,1,1,1
33,18830321,historical,google/gemma-2-9b-it,1,0,0,0,0,1
33,18830321,historical,google/gemma-2-9b-it,1,0,0,0,0,0
33,18830321,historical,google/gemma-2-9b-it,0,1,1,0,0,1
33,18830321,historical,google/gemma-2-9b-it,0,0,1,0,0,1
33,18830321,historical,google/gemma-2-9b-it,0,0,0,0,0,1
33,18830321,historical,google/gemma-2-9b-it,0,0,0,0,0,0
33,18830321,historical,google/gemma-2-9b-it,0,1,0,1,0,1
33,18830321,historical,google/gemma-2-9b-it,0,1,0,0,0,0
33,18830321,historical,google/gemma-2-9b-it,0,0,0,0,0,1
33,18830321,historical,google/gemma-2-9b-it,1,0,0,0,0,1
33,18830321,historical,google/gemma-2-9b-it,0,1,0,1,0,0
33,18830321,historical,google/gemma-2-9b-it,0,1,0,0,0,1
33,18830321,historical,google/gemma-2-9b-it,0,0,0,0,0,1
33,18830321,historical,google/gemma-2-9b-it,1,1,0,0,0,1
33,18830321,historical,google/gemma-2-9b-it,1,0,0,1,0,0
