ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact
82,19980109,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,1.0
83,20001106,modern,google/gemma-2-9b-it,0.0,1.0,0.0,1.0,0.0,0.0
84,19980124,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,1.0
85,20040906,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,1.0,0.0
86,20080424,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,0.0,0.0
87,19980114,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,1.0,1.0
88,19960724,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
89,19930731,modern,google/gemma-2-9b-it,1.0,1.0,1.0,1.0,1.0,0.0
90,20000715,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
91,20070626,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
92,20061203,modern,google/gemma-2-9b-it,0.0,1.0,1.0,1.0,1.0,0.0
93,19990108,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
94,19980912,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
95,20080105,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
96,19951006,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,1.0,0.0
97,20020821,modern,google/gemma-2-9b-it,1.0,1.0,1.0,1.0,1.0,1.0
98,19901112,modern,google/gemma-2-9b-it,1.0,1.0,0.0,1.0,1.0,0.0
99,19901222,modern,google/gemma-2-9b-it,0.0,1.0,1.0,1.0,0.0,1.0
100,19931113,modern,google/gemma-2-9b-it,0.0,1.0,1.0,1.0,0.0,1.0
101,19900422,modern,google/gemma-2-9b-it,1.0,1.0,1.0,0.0,0.0,1.0
102,19910317,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
103,19950630,modern,google/gemma-2-9b-it,0.0,1.0,0.0,1.0,0.0,0.0
104,19990522,modern,google/gemma-2-9b-it,0.0,1.0,0.0,0.0,0.0,0.0
105,19970419,modern,google/gemma-2-9b-it,0.0,1.0,1.0,1.0,0.0,1.0
106,19980502,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
107,19920330,modern,google/gemma-2-9b-it,0.0,1.0,0.0,1.0,1.0,1.0
108,19980404,modern,google/gemma-2-9b-it,0.0,1.0,1.0,0.0,0.0,1.0
109,19921010,modern,google/gemma-2-9b-it,0.0,1.0,1.0,0.0,0.0,1.0
110,19940219,modern,google/gemma-2-9b-it,0.0,1.0,1.0,1.0,1.0,1.0
111,19900624,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
112,19900422,modern,google/gemma-2-9b-it,0.0,1.0,1.0,0.0,0.0,1.0
113,19900616,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
114,19901215,modern,google/gemma-2-9b-it,0.0,1.0,1.0,0.0,0.0,1.0
115,19900421,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
116,19900513,modern,google/gemma-2-9b-it,0.0,1.0,0.0,0.0,0.0,0.0
117,19930711,modern,google/gemma-2-9b-it,1.0,0.0,0.0,0.0,1.0,0.0
118,20060802,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,1.0,0.0
119,20070626,modern,google/gemma-2-9b-it,1.0,1.0,1.0,1.0,1.0,1.0
120,20030628,modern,google/gemma-2-9b-it,0.0,0.0,0.0,1.0,0.0,0.0
121,19950618,modern,google/gemma-2-9b-it,0.0,0.0,1.0,0.0,1.0,0.0
122,20020819,modern,google/gemma-2-9b-it,0.0,0.0,0.0,1.0,1.0,0.0
123,19930708,modern,google/gemma-2-9b-it,0.0,0.0,0.0,0.0,1.0,1.0
124,19950614,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,1.0,1.0
125,19901205,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,0.0,1.0
126,20090108,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,0.0,0.0
127,20000413,modern,google/gemma-2-9b-it,1.0,0.0,1.0,1.0,1.0,0.0
128,19910302,modern,google/gemma-2-9b-it,1.0,1.0,1.0,1.0,1.0,1.0
129,19930318,modern,google/gemma-2-9b-it,0.0,1.0,0.0,0.0,0.0,0.0
130,19970625,modern,google/gemma-2-9b-it,1.0,0.0,0.0,0.0,0.0,1.0
131,20080109,modern,google/gemma-2-9b-it,0.0,0.0,0.0,1.0,0.0,0.0
132,19940318,modern,google/gemma-2-9b-it,0.0,0.0,0.0,1.0,1.0,1.0
133,19990117,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,0.0,1.0
134,19951231,modern,google/gemma-2-9b-it,0.0,1.0,1.0,1.0,1.0,0.0
135,19980109,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,0.0,0.0
136,19931226,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,0.0,0.0
137,20071222,modern,google/gemma-2-9b-it,1.0,1.0,1.0,1.0,1.0,0.0
138,19990710,modern,google/gemma-2-9b-it,1.0,1.0,1.0,1.0,1.0,0.0
181,19900301,modern,google/gemma-2-9b-it,1.0,0.0,0.0,0.0,1.0,0.0
182,19911204,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,1.0,0.0
183,19900103,modern,google/gemma-2-9b-it,1.0,0.0,0.0,1.0,1.0,0.0
184,20090408,modern,google/gemma-2-9b-it,0.0,0.0,1.0,0.0,0.0,1.0
185,20020304,modern,google/gemma-2-9b-it,1.0,0.0,1.0,0.0,1.0,0.0
186,19971122,modern,google/gemma-2-9b-it,1.0,0.0,1.0,0.0,1.0,0.0
187,19930112,modern,google/gemma-2-9b-it,1.0,0.0,1.0,0.0,1.0,1.0
188,19910130,modern,google/gemma-2-9b-it,0.0,0.0,1.0,0.0,1.0,0.0
