ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact
82,19980109,modern,google/gemma-2-9b-it,1,0,1,1,1,1
83,20001106,modern,google/gemma-2-9b-it,1,1,1,1,1,1
84,19980124,modern,google/gemma-2-9b-it,1,1,1,1,1,1
85,20040906,modern,google/gemma-2-9b-it,1,0,0,1,1,0
86,20080424,modern,google/gemma-2-9b-it,1,0,1,1,0,1
87,19980114,modern,google/gemma-2-9b-it,1,0,0,1,1,1
88,19960724,modern,google/gemma-2-9b-it,1,0,0,1,1,1
89,19930731,modern,google/gemma-2-9b-it,1,1,1,1,1,1
90,20000715,modern,google/gemma-2-9b-it,1,1,1,1,1,1
91,20070626,modern,google/gemma-2-9b-it,1,1,1,1,1,1
92,20061203,modern,google/gemma-2-9b-it,1,0,0,1,1,0
93,19990108,modern,google/gemma-2-9b-it,1,1,1,1,1,1
94,19980912,modern,google/gemma-2-9b-it,0,0,0,0,0,0
95,20080105,modern,google/gemma-2-9b-it,1,1,1,1,1,1
96,19951006,modern,google/gemma-2-9b-it,1,0,0,1,1,1
97,20020821,modern,google/gemma-2-9b-it,1,1,1,1,1,1
98,19901112,modern,google/gemma-2-9b-it,1,1,0,1,1,0
99,19901222,modern,google/gemma-2-9b-it,0,1,1,1,0,1
100,19931113,modern,google/gemma-2-9b-it,0,0,1,1,0,1
101,19900422,modern,google/gemma-2-9b-it,1,1,1,0,0,1
102,19910317,modern,google/gemma-2-9b-it,0,0,0,0,0,0
103,19950630,modern,google/gemma-2-9b-it,1,1,1,1,1,1
104,19990522,modern,google/gemma-2-9b-it,1,1,1,1,1,1
105,19970419,modern,google/gemma-2-9b-it,0,1,1,1,0,1
106,19980502,modern,google/gemma-2-9b-it,0,1,0,1,1,1
107,19920330,modern,google/gemma-2-9b-it,1,1,1,1,1,1
108,19980404,modern,google/gemma-2-9b-it,1,1,1,1,1,1
109,19921010,modern,google/gemma-2-9b-it,0,1,1,0,0,1
110,19940219,modern,google/gemma-2-9b-it,0,1,1,1,0,1
111,19900624,modern,google/gemma-2-9b-it,1,1,1,1,1,1
112,19900422,modern,google/gemma-2-9b-it,0,1,1,0,0,1
113,19900616,modern,google/gemma-2-9b-it,0,0,0,0,0,1
114,19901215,modern,google/gemma-2-9b-it,1,1,1,1,1,1
115,19900421,modern,google/gemma-2-9b-it,1,1,1,1,1,1
116,19900513,modern,google/gemma-2-9b-it,1,1,1,1,1,1
117,19930711,modern,google/gemma-2-9b-it,0,0,0,0,1,0
