ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Health impact,Political impact
0,18800116,historical,gpt-4o,1,0,1,0,1,0
1,18800120,historical,gpt-4o,0,1,1,0,0,0
2,18800121,historical,gpt-4o,1,0,0,1,1,0
3,18800219,historical,gpt-4o,0,1,0,0,0,0
4,18800403,historical,gpt-4o,0,1,1,0,0,0
5,18800408,historical,gpt-4o,1,0,0,0,0,0
6,18800415,historical,gpt-4o,1,1,0,1,1,0
7,18830312,historical,gpt-4o,1,0,0,0,0,0
8,18940213,historical,gpt-4o,1,1,0,1,1,0
9,18950819,historical,gpt-4o,1,1,0,1,1,0
10,18930710,historical,gpt-4o,1,0,0,0,1,0
11,18920615,historical,gpt-4o,1,0,1,1,1,0
12,18920223,historical,gpt-4o,1,0,0,0,0,0
13,18910908,historical,gpt-4o,1,1,0,1,1,0
14,18961014,historical,gpt-4o,1,0,1,1,0,0
15,18930830,historical,gpt-4o,1,1,0,1,1,0
16,18860106,historical,gpt-4o,1,0,1,1,0,0
17,18950819,historical,gpt-4o,1,1,0,0,1,0
18,18890805,historical,gpt-4o,1,1,1,0,1,0
19,18830205,historical,gpt-4o,1,1,1,1,1,0
20,18880903,historical,gpt-4o,1,1,0,1,1,0
21,18840912,historical,gpt-4o,1,1,1,1,1,0
22,18841230,historical,gpt-4o,1,1,1,0,0,0
23,18900206,historical,gpt-4o,1,1,1,1,0,0
24,18951011,historical,gpt-4o,1,0,0,1,0,1
25,18980623,historical,gpt-4o,0,1,0,0,0,0
26,18940213,historical,gpt-4o,1,1,0,1,1,0
27,18980207,historical,gpt-4o,1,1,0,1,1,0
28,18950515,historical,gpt-4o,0,1,0,1,0,0
29,18981128,historical,gpt-4o,1,0,0,1,1,0
30,18981124,historical,gpt-4o,1,0,0,1,0,0
31,18820222,historical,gpt-4o,1,1,0,1,0,0
32,18860123,historical,gpt-4o,1,1,0,1,1,0
33,18830321,historical,gpt-4o,1,1,0,1,1,0
34,18870329,historical,gpt-4o,1,0,0,0,0,0
35,18870301,historical,gpt-4o,1,1,0,1,1,1
36,18890408,historical,gpt-4o,1,0,0,0,0,0
37,18860205,historical,gpt-4o,1,1,0,0,1,0
38,18950515,historical,gpt-4o,0,1,0,1,0,0
39,18850404,historical,gpt-4o,1,1,1,1,0,0
40,18980321,historical,gpt-4o,1,0,1,1,0,0
41,18841107,historical,gpt-4o,1,0,0,1,1,0
42,18960101,historical,gpt-4o,1,0,1,0,1,0
43,18870822,historical,gpt-4o,1,0,1,0,0,1
44,18860419,historical,gpt-4o,1,0,1,1,0,1
45,18860407,historical,gpt-4o,1,0,0,0,1,0
46,18870425,historical,gpt-4o,1,0,1,1,0,1
47,18990114,historical,gpt-4o,1,0,0,0,1,0
48,18981019,historical,gpt-4o,1,0,0,0,1,0
49,18990925,historical,gpt-4o,1,1,0,0,0,0
50,18800623,historical,gpt-4o,1,0,0,0,1,0
51,18961023,historical,gpt-4o,1,0,0,0,0,0
52,18971227,historical,gpt-4o,0,1,0,1,0,0
53,18841107,historical,gpt-4o,1,0,0,1,1,0
54,18901203,historical,gpt-4o,1,1,0,1,0,0
55,18910310,historical,gpt-4o,1,0,1,1,1,0
56,18911214,historical,gpt-4o,1,0,0,0,1,0
57,18990109,historical,gpt-4o,1,0,0,1,0,0
58,18820222,historical,gpt-4o,1,1,0,1,0,0
59,18981124,historical,gpt-4o,1,1,0,1,0,0
60,18871229,historical,gpt-4o,1,0,0,0,0,0
61,18840128,historical,gpt-4o,1,0,1,0,1,0
62,18840303,historical,gpt-4o,1,0,0,0,0,0
63,18940213,historical,gpt-4o,1,0,0,1,1,0
64,18910127,historical,gpt-4o,1,0,0,0,0,0
65,18940410,historical,gpt-4o,1,0,0,1,0,0
66,18940217,historical,gpt-4o,1,1,0,0,1,0
67,18981128,historical,gpt-4o,1,0,0,1,0,0
68,18860423,historical,gpt-4o,1,0,1,1,1,1
69,18860125,historical,gpt-4o,1,1,1,1,1,0
70,18970625,historical,gpt-4o,1,1,0,1,0,0
71,18930314,historical,gpt-4o,1,0,1,1,0,0
72,18860426,historical,gpt-4o,1,0,0,1,0,1
73,18850427,historical,gpt-4o,1,1,1,1,1,0
74,18830607,historical,gpt-4o,1,0,0,1,0,0
75,18971130,historical,gpt-4o,1,0,0,1,1,0
76,18940612,historical,gpt-4o,1,1,1,1,0,1
77,18880927,historical,gpt-4o,1,0,0,1,1,1
