ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Health impact,Political impact
82,19980109,modern,gpt-4o,1,0,0,0,0,0
82,19980109,modern,gpt-4o,1,0,0,0,0,0
82,19980109,modern,gpt-4o,1,0,0,0,0,0
82,19980109,modern,gpt-4o,1,0,0,0,0,0
82,19980109,modern,gpt-4o,1,0,0,0,0,0
82,19980109,modern,gpt-4o,1,0,0,0,0,0
82,19980109,modern,gpt-4o,1,0,0,0,1,1
82,19980109,modern,gpt-4o,0,0,0,0,0,1
82,19980109,modern,gpt-4o,1,0,0,1,0,0
82,19980109,modern,gpt-4o,1,0,0,1,0,0
82,19980109,modern,gpt-4o,1,0,0,1,0,0
82,19980109,modern,gpt-4o,0,0,0,1,0,0
82,19980109,modern,gpt-4o,1,0,0,0,0,1
82,19980109,modern,gpt-4o,1,1,0,0,0,1
82,19980109,modern,gpt-4o,1,1,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,1,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,1,0,0,0,0,0
82,19980109,modern,gpt-4o,1,0,1,0,0,0
82,19980109,modern,gpt-4o,1,0,1,0,0,0
82,19980109,modern,gpt-4o,0,0,1,0,0,0
82,19980109,modern,gpt-4o,0,0,1,0,0,1
82,19980109,modern,gpt-4o,0,0,1,0,0,0
82,19980109,modern,gpt-4o,1,0,1,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,0
82,19980109,modern,gpt-4o,0,0,0,0,0,1
83,20001106,modern,gpt-4o,1,0,0,1,0,1
83,20001106,modern,gpt-4o,1,0,0,1,0,1
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,0,0,0
83,20001106,modern,gpt-4o,0,0,0,1,0,0
84,19980124,modern,gpt-4o,1,0,1,1,1,1
85,20040906,modern,gpt-4o,1,1,0,1,1,0
86,20080424,modern,gpt-4o,0,0,1,0,0,0
86,20080424,modern,gpt-4o,0,0,1,1,0,0
86,20080424,modern,gpt-4o,1,0,0,1,0,0
86,20080424,modern,gpt-4o,1,0,0,0,0,0
86,20080424,modern,gpt-4o,0,0,0,1,0,1
86,20080424,modern,gpt-4o,0,0,0,0,0,1
86,20080424,modern,gpt-4o,0,0,0,0,0,0
86,20080424,modern,gpt-4o,0,0,0,0,0,0
86,20080424,modern,gpt-4o,0,0,0,0,0,0
86,20080424,modern,gpt-4o,0,0,0,0,0,0
86,20080424,modern,gpt-4o,0,0,0,0,0,0
86,20080424,modern,gpt-4o,0,0,0,0,0,0
86,20080424,modern,gpt-4o,0,0,0,0,0,0
86,20080424,modern,gpt-4o,0,0,0,0,0,0
87,19980114,modern,gpt-4o,1,0,0,0,0,0
87,19980114,modern,gpt-4o,1,0,0,0,1,0
87,19980114,modern,gpt-4o,1,0,0,0,1,1
87,19980114,modern,gpt-4o,1,0,0,0,0,0
87,19980114,modern,gpt-4o,1,0,0,0,0,0
87,19980114,modern,gpt-4o,1,0,0,0,0,0
87,19980114,modern,gpt-4o,1,0,0,1,0,1
87,19980114,modern,gpt-4o,1,0,0,1,0,1
87,19980114,modern,gpt-4o,1,0,0,1,0,0
87,19980114,modern,gpt-4o,1,0,0,0,0,1
87,19980114,modern,gpt-4o,1,0,0,1,0,1
87,19980114,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,1,0,0,1
88,19960724,modern,gpt-4o,0,0,1,0,1,1
88,19960724,modern,gpt-4o,1,0,0,0,1,1
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,1,0,1
88,19960724,modern,gpt-4o,1,0,0,1,0,0
88,19960724,modern,gpt-4o,1,0,0,1,0,0
88,19960724,modern,gpt-4o,1,0,0,0,0,0
88,19960724,modern,gpt-4o,1,0,1,1,0,0
88,19960724,modern,gpt-4o,1,0,0,1,0,1
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,1,0,0,0,0,0
88,19960724,modern,gpt-4o,1,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,1,0,0,1
88,19960724,modern,gpt-4o,0,0,0,0,0,0
88,19960724,modern,gpt-4o,0,0,0,0,0,1
89,19930731,modern,gpt-4o,1,1,1,0,1,0
89,19930731,modern,gpt-4o,1,0,1,0,0,0
89,19930731,modern,gpt-4o,1,1,0,0,1,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
89,19930731,modern,gpt-4o,0,0,0,0,0,0
90,20000715,modern,gpt-4o,1,0,0,0,1,1
91,20070626,modern,gpt-4o,1,1,1,1,1,1
92,20061203,modern,gpt-4o,1,0,0,0,1,0
92,20061203,modern,gpt-4o,0,0,0,0,1,0
92,20061203,modern,gpt-4o,1,0,0,0,0,0
92,20061203,modern,gpt-4o,1,0,0,0,0,0
92,20061203,modern,gpt-4o,1,0,0,0,0,0
92,20061203,modern,gpt-4o,1,0,0,0,1,0
92,20061203,modern,gpt-4o,1,0,0,0,0,0
92,20061203,modern,gpt-4o,0,0,0,0,0,0
92,20061203,modern,gpt-4o,0,0,0,0,0,0
92,20061203,modern,gpt-4o,0,0,0,0,0,0
92,20061203,modern,gpt-4o,0,0,0,0,0,0
92,20061203,modern,gpt-4o,0,0,0,0,0,0
92,20061203,modern,gpt-4o,1,0,0,0,0,0
92,20061203,modern,gpt-4o,0,0,0,0,0,0
92,20061203,modern,gpt-4o,0,0,0,0,0,0
92,20061203,modern,gpt-4o,0,0,0,0,0,0
92,20061203,modern,gpt-4o,1,0,0,0,0,0
92,20061203,modern,gpt-4o,1,0,0,0,0,0
92,20061203,modern,gpt-4o,1,0,0,0,0,0
