ID,Date,Type,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact
82,19980109,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,1,1
83,20001106,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
84,19980124,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,1,1
85,20040906,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,1,1
86,20080424,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,0
87,19980114,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
88,19960724,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,0
89,19930731,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,1,0
90,20000715,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
91,20070626,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,0,0,1,0
92,20061203,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
93,19990108,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
94,19980912,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,0
95,20080105,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,1,1
96,19951006,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
97,20020821,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,1,1
98,19901112,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,0,1
99,19901222,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,1,0,0
100,19931113,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,1
101,19900422,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,0,0,1
102,19910317,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,1,1
103,19950630,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,0,1
104,19990522,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,1,1,0,0
105,19970419,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,0,1,1
106,19980502,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,0,1
107,19920330,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,1,0
108,19980404,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,0,0
109,19921010,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,0,1,0
110,19940219,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,0,0,1
111,19900624,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,0,0,1
112,19900422,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,1,0,1
113,19900616,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,1
114,19901215,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,0,1,1
115,19900421,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,1,1
116,19900513,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,1
117,19930711,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,1,0
118,20060802,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
119,20070626,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,0
120,20030628,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
121,19950618,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,0,1,0
122,20020819,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,1,1
123,19930708,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,0,1,1
124,19950614,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,1,1,1,1
125,19901205,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,1
126,20090108,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
127,20000413,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
128,19910302,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,1
129,19930318,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,1
130,19970625,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
131,20080109,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
132,19940318,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
133,19990117,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
134,19951231,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,0,1,1,1
135,19980109,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
136,19931226,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,0
137,20071222,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
138,19990710,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,1,0
181,19900301,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
182,19911204,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
183,19900103,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,0,1,1,1
184,20090408,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,0,1
185,20020304,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,0
186,19971122,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
187,19930112,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,1,1,1
188,19910130,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,1,0,1
189,19981022,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,0,1
190,20100125,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
191,19970911,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
192,19900320,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,0
193,19900816,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,0,1,1
194,19900205,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,1,0,0,1
195,19900812,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,1,1
196,19910612,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
197,19910707,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
198,19911112,modern,meta-llama/Llama-3.1-8B-Instruct,1,0,0,1,1,1
199,19920204,modern,meta-llama/Llama-3.1-8B-Instruct,0,1,0,0,0,0
200,19920510,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0
201,19920813,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,1,1
202,19920824,modern,meta-llama/Llama-3.1-8B-Instruct,1,1,1,1,0,1
203,19920928,modern,meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,1
