ID,Date,Type,Weather,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Financial impact,Human health impact,Political impact,isError
0,18800116,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,0,0,0,False
1,18800120,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,0,0,0,0,False
2,18800121,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,0,0,0,0,False
3,18800219,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,0,0,0,0,False
4,18800403,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,1,0,0,False
5,18800408,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,0,0,0,False
6,18800415,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,0,1,0,False
7,18830312,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,0,0,0,False
8,18940213,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,0,1,0,False
9,18950819,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,0,0,0,False
10,18930710,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,0,1,0,False
11,18920615,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,0,0,0,False
12,18920223,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,0,1,0,False
13,18910908,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,0,0,0,False
14,18961014,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,1,0,0,False
15,18930830,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,0,0,0,0,False
16,18860106,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,0,0,1,False
17,18950819,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,0,0,0,False
18,18890805,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,0,1,1,0,False
19,18830205,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,0,False
20,18880903,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,0,0,1,0,False
21,18840912,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,0,0,0,False
22,18841230,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,1,0,0,False
23,18900206,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,0,0,0,0,False
