Weather,Type,Infrastructural Impact,Political Impact,Financial Impact,Ecological Impact,Agricultural Impact,Human Health Impact
blizzard,historical,7,0,0,1,2,3
cold,historical,0,0,0,0,1,1
deluge,historical,4,1,5,0,3,4
drought,historical,0,1,3,0,8,1
flood,historical,14,8,15,11,6,7
freezing,historical,5,1,3,1,1,4
ice,historical,6,1,5,1,2,2
ice or flood?,historical,3,3,2,3,1,3
rain,historical,9,1,7,3,6,7
snow,historical,11,4,10,2,8,9
snowstorm,historical,13,0,8,5,3,5
snowstorm or hurricane?,historical,1,0,0,1,0,1
storm,historical,11,2,5,4,4,9
thunder,historical,4,0,1,1,5,5
torrential,historical,5,0,2,0,1,2
Deluge,modern,12,6,6,1,5,8
Drought,modern,4,7,5,7,10,6
Floods,modern,4,2,2,3,3,5
Freezing,modern,7,5,1,1,1,3
Heatwaves,modern,3,1,1,0,1,4
Snowstorm,modern,10,3,4,0,1,2
cold,modern,0,0,0,0,0,0
heat,modern,0,0,0,0,0,0
ice,modern,6,1,1,4,1,6
rain,modern,17,10,11,3,4,12
storm,modern,8,1,0,1,3,7
thunder,modern,4,3,1,1,0,1
