Weather,Type,Infrastructural Impact,Political Impact,Financial Impact,Ecological Impact,Agricultural Impact,Human Health Impact,Total Count
blizzard,historical,7,0,0,1,2,3,15
cold,historical,0,0,0,0,1,1,15
deluge,historical,4,1,5,0,3,4,15
drought,historical,0,1,3,0,8,1,15
flood,historical,14,8,15,11,6,7,15
freezing,historical,5,1,3,1,1,4,15
ice,historical,9,4,7,4,3,5,16
rain,historical,9,1,7,3,6,7,15
snow,historical,11,4,10,2,8,9,17
snowstorm,historical,14,0,8,6,3,6,16
storm,historical,11,2,5,4,4,9,15
thunder,historical,4,0,1,1,5,5,15
torrential,historical,5,0,2,0,1,2,16
Deluge,modern,12,6,6,1,5,8,13
Drought,modern,4,7,5,7,10,6,16
Floods,modern,4,2,2,3,3,5,7
Freezing,modern,7,5,1,1,1,3,13
Heatwaves,modern,3,1,1,0,1,4,13
Snowstorm,modern,10,3,4,0,1,2,18
cold,modern,0,0,0,0,0,0,6
heat,modern,0,0,0,0,0,0,4
ice,modern,6,1,1,4,1,6,14
rain,modern,17,10,11,3,4,12,17
storm,modern,8,1,0,1,3,7,15
thunder,modern,4,3,1,1,0,1,14
