Weather,Type,Infrastructural Impact,Political Impact,Financial Impact,Ecological Impact,Agricultural Impact,Human Health Impact,,Count,Count,Count,Count,Count,Count,,Infrastructural Impact,Political Impact,Financial Impact,Ecological Impact,Agricultural Impact,Human Health Impact,
blizzard,historical,46.66666667,0,0,6.666666667,13.33333333,20,,15,15,15,15,15,15,,7.000000001,0,0,1,2,3,0
cold,historical,0,0,0,0,6.666666667,6.666666667,,15,15,15,15,15,15,,0,0,0,0,1,1,0
deluge,historical,26.66666667,6.666666667,33.33333333,0,20,26.66666667,,15,15,15,15,15,15,,4.000000001,1,5,0,3,4.000000001,0
drought,historical,0,6.666666667,20,0,53.33333333,6.666666667,,15,15,15,15,15,15,,0,1,3,0,8,1,0
flood,historical,93.33333333,53.33333333,100,73.33333333,40,46.66666667,,15,15,15,15,15,15,,14,8,15,11,6,7.000000001,0
freezing,historical,33.33333333,6.666666667,20,6.666666667,6.666666667,26.66666667,,15,15,15,15,15,15,,5,1,3,1,1,4.000000001,0
ice,historical,46.15384615,7.692307692,38.46153846,7.692307692,15.38461538,15.38461538,,13,13,13,13,13,13,,6,1,5,1,1.999999999,1.999999999,0
ice or flood?,historical,100,100,66.66666667,100,33.33333333,100,,3,3,3,3,3,3,,3,3,2,3,1,3,0
rain,historical,60,6.666666667,46.66666667,20,40,46.66666667,,15,15,15,15,15,15,,9,1,7.000000001,3,6,7.000000001,0
snow,historical,64.70588235,23.52941176,58.82352941,11.76470588,47.05882353,52.94117647,,17,17,17,17,17,17,,11,3.999999999,10,2,8,9,0
snowstorm,historical,86.66666667,0,53.33333333,33.33333333,20,33.33333333,,15,15,15,15,15,15,,13,0,8,5,3,5,0
snowstorm or hurricane?,historical,100,0,0,100,0,100,,1,1,1,1,1,1,,1,0,0,1,0,1,0
storm,historical,73.33333333,13.33333333,33.33333333,26.66666667,26.66666667,60,,15,15,15,15,15,15,,11,2,5,4.000000001,4.000000001,9,0
thunder,historical,26.66666667,0,6.666666667,6.666666667,33.33333333,33.33333333,,15,15,15,15,15,15,,4.000000001,0,1,1,5,5,0
torrential,historical,31.25,0,12.5,0,6.25,12.5,,16,16,16,16,16,16,,5,0,2,0,1,2,0
Deluge,modern,92.30769231,46.15384615,46.15384615,7.692307692,38.46153846,61.53846154,,6,6,6,6,6,6,,5.538461539,2.769230769,2.769230769,0.461538462,2.307692308,3.692307692,0
Drought,modern,25,43.75,31.25,43.75,62.5,37.5,,13,13,13,13,13,13,,3.25,5.6875,4.0625,5.6875,8.125,4.875,0
Floods,modern,57.14285714,28.57142857,28.57142857,42.85714286,42.85714286,71.42857143,,16,16,16,16,16,16,,9.142857142,4.571428571,4.571428571,6.857142858,6.857142858,11.42857143,0
Freezing,modern,53.84615385,38.46153846,7.692307692,7.692307692,7.692307692,23.07692308,,7,7,7,7,7,7,,3.76923077,2.692307692,0.538461538,0.538461538,0.538461538,1.615384616,0
Heatwaves,modern,23.07692308,7.692307692,7.692307692,0,7.692307692,30.76923077,,13,13,13,13,13,13,,3,1,1,0,1,4,0
Snowstorm,modern,55.55555556,16.66666667,22.22222222,0,5.555555556,11.11111111,,4,4,4,4,4,4,,2.222222222,0.666666667,0.888888889,0,0.222222222,0.444444444,0
cold,modern,0,0,0,0,0,0,,13,13,13,13,13,13,,0,0,0,0,0,0,0
heat,modern,0,0,0,0,0,0,,14,14,14,14,14,14,,0,0,0,0,0,0,0
ice,modern,42.85714286,7.142857143,7.142857143,28.57142857,7.142857143,42.85714286,,17,17,17,17,17,17,,7.285714286,1.214285714,1.214285714,4.857142857,1.214285714,7.285714286,0
rain,modern,100,58.82352941,64.70588235,17.64705882,23.52941176,70.58823529,,18,18,18,18,18,18,,18,10.58823529,11.64705882,3.176470588,4.235294117,12.70588235,0
storm,modern,53.33333333,6.666666667,0,6.666666667,20,46.66666667,,15,15,15,15,15,15,,8,1,0,1,3,7.000000001,0
thunder,modern,28.57142857,21.42857143,7.142857143,7.142857143,0,7.142857143,,14,14,14,14,14,14,,4,3,1,1,0,1,0
