Year,Infrastructural Impact,Political Impact,Financial Impact,Ecological Impact,Agricultural Impact,Human Health Impact,,Count,Count,Count,Count,Count,Count,,Year,Infrastructural Impact,Political Impact,Financial Impact,Ecological Impact,Agricultural Impact,Human Health Impact,,Count
1880,38.46153846,0,0,0,23.07692308,23.07692308,,13,13,13,13,13,13,,1880,5,0,0,0,3,3,0,13
1881,0,0,20,20,20,0,,5,5,5,5,5,5,,1881,0,0,1,1,1,0,0,5
1882,50,0,50,16.66666667,50,16.66666667,,6,6,6,6,6,6,,1882,3,0,3,1,3,1,0,6
1883,62.5,25,62.5,25,50,50,,8,8,8,8,8,8,,1883,5,2,5,2,4,4,0,8
1884,63.63636364,0,45.45454545,18.18181818,18.18181818,36.36363636,,11,11,11,11,11,11,,1884,7,0,5,2,2,4,0,11
1885,28.57142857,0,28.57142857,14.28571429,28.57142857,14.28571429,,7,7,7,7,7,7,,1885,2,0,2,1,2,1,0,7
1886,66.66666667,33.33333333,46.66666667,33.33333333,33.33333333,46.66666667,,15,15,15,15,15,15,,1886,10,5,7,5,5,7,0,15
1887,35.29411765,29.41176471,29.41176471,11.76470588,5.882352941,29.41176471,,17,17,17,17,17,17,,1887,6,5,5,2,1,5,0,17
1888,45.45454545,9.090909091,27.27272727,9.090909091,45.45454545,45.45454545,,11,11,11,11,11,11,,1888,5,1,3,1,5,5,0,11
1889,36.36363636,0,0,27.27272727,9.090909091,27.27272727,,11,11,11,11,11,11,,1889,4,0,0,3,1,3,0,11
1890,36.36363636,9.090909091,18.18181818,9.090909091,36.36363636,27.27272727,,11,11,11,11,11,11,,1890,4,1,2,1,4,3,0,11
1891,50,0,40,20,20,40,,10,10,10,10,10,10,,1891,5,0,4,2,2,4,0,10
1892,30,10,30,20,10,30,,10,10,10,10,10,10,,1892,3,1,3,2,1,3,0,10
1893,50,0,50,50,75,75,,4,4,4,4,4,4,,1893,2,0,2,2,3,3,0,4
1894,63.63636364,18.18181818,45.45454545,36.36363636,27.27272727,54.54545455,,11,11,11,11,11,11,,1894,7,2,5,4,3,6,0,11
1895,35.71428571,7.142857143,35.71428571,0,28.57142857,14.28571429,,14,14,14,14,14,14,,1895,5,1,5,0,4,2,0,14
1896,50,0,25,12.5,12.5,12.5,,8,8,8,8,8,8,,1896,4,0,2,1,1,1,0,8
1897,50,16.66666667,50,16.66666667,16.66666667,33.33333333,,6,6,6,6,6,6,,1897,3,1,3,1,1,2,0,6
1898,66.66666667,16.66666667,50,0,25,41.66666667,,12,12,12,12,12,12,,1898,8,2,6,0,3,5,0,12
1899,50,10,30,20,20,10,,10,10,10,10,10,10,,1899,5,1,3,2,2,1,0,10
1990,36.36363636,18.18181818,15.15151515,24.24242424,24.24242424,36.36363636,,33,33,33,33,33,33,,1990,12,6,5,8,8,12,0,33
1991,36.36363636,0,0,0,9.090909091,36.36363636,,11,11,11,11,11,11,,1991,4,0,0,0,1,4,0,11
1992,38.46153846,23.07692308,15.38461538,15.38461538,30.76923077,38.46153846,,13,13,13,13,13,13,,1992,5,3,2,2,4,5,0,13
1993,25,25,0,0,16.66666667,25,,12,12,12,12,12,12,,1993,3,3,0,0,2,3,0,12
1994,0,0,0,25,25,0,,4,4,4,4,4,4,,1994,0,0,0,1,1,0,0,4
1995,28.57142857,14.28571429,28.57142857,0,0,42.85714286,,7,7,7,7,7,7,,1995,2,1,2,0,0,3,0,7
1996,71.42857143,57.14285714,57.14285714,0,0,42.85714286,,7,7,7,7,7,7,,1996,5,4,4,0,0,3,0,7
1997,77.77777778,22.22222222,33.33333333,22.22222222,22.22222222,33.33333333,,9,9,9,9,9,9,,1997,7,2,3,2,2,3,0,9
1998,86.66666667,60,26.66666667,26.66666667,20,40,,15,15,15,15,15,15,,1998,13,9,4,4,3,6,0,15
1999,100,40,20,20,40,60,,5,5,5,5,5,5,,1999,5,2,1,1,2,3,0,5
2000,66.66666667,16.66666667,16.66666667,0,33.33333333,50,,6,6,6,6,6,6,,2000,4,1,1,0,2,3,0,6
2001,0,0,0,0,0,0,,1,1,1,1,1,1,,2001,0,0,0,0,0,0,0,1
2002,50,25,25,25,0,50,,4,4,4,4,4,4,,2002,2,1,1,1,0,2,0,4
2003,100,0,0,0,0,0,,1,1,1,1,1,1,,2003,1,0,0,0,0,0,0,1
2004,100,0,100,0,0,100,,1,1,1,1,1,1,,2004,1,0,1,0,0,1,0,1
2005,0,0,0,0,0,0,,1,1,1,1,1,1,,2005,0,0,0,0,0,0,0,1
2006,66.66666667,66.66666667,33.33333333,0,33.33333333,66.66666667,,3,3,3,3,3,3,,2006,2,2,1,0,1,2,0,3
2007,37.5,37.5,37.5,0,12.5,37.5,,8,8,8,8,8,8,,2007,3,3,3,0,1,3,0,8
2008,100,40,60,20,40,20,,5,5,5,5,5,5,,2008,5,2,3,1,2,1,0,5
2009,0,0,0,0,0,0,,2,2,2,2,2,2,,2009,0,0,0,0,0,0,0,2
2010,50,0,50,50,0,0,,2,2,2,2,2,2,,2010,1,0,1,1,0,0,0,2
