Model_Type,Impact_Column,TP,FP,TN,FN
meta-llama/Llama-3.1-8B-Instruct,Infrastructural impact,135,39,143,33
meta-llama/Llama-3.1-8B-Instruct,Political impact,55,146,143,6
meta-llama/Llama-3.1-8B-Instruct,Financial impact,83,131,121,15
meta-llama/Llama-3.1-8B-Instruct,Ecological impact,28,62,234,26
meta-llama/Llama-3.1-8B-Instruct,Agricultural impact,56,49,221,24
meta-llama/Llama-3.1-8B-Instruct,Human health impact,78,55,178,39
Qwen/Qwen2.5-7B-Instruct,Infrastructural impact,140,64,118,28
Qwen/Qwen2.5-7B-Instruct,Political impact,36,97,192,25
Qwen/Qwen2.5-7B-Instruct,Financial impact,54,92,160,44
Qwen/Qwen2.5-7B-Instruct,Ecological impact,33,104,192,21
Qwen/Qwen2.5-7B-Instruct,Agricultural impact,44,75,195,36
Qwen/Qwen2.5-7B-Instruct,Human health impact,56,73,160,61
gpt-3.5-turbo,Infrastructural impact,148,48,134,20
gpt-3.5-turbo,Political impact,37,52,237,24
gpt-3.5-turbo,Financial impact,55,69,183,43
gpt-3.5-turbo,Ecological impact,23,49,247,31
gpt-3.5-turbo,Agricultural impact,49,34,236,31
gpt-3.5-turbo,Human health impact,71,56,177,46
mistralai/Mixtral-8x7B-Instruct-v0.1,Infrastructural impact,120,31,151,48
mistralai/Mixtral-8x7B-Instruct-v0.1,Political impact,33,49,240,28
mistralai/Mixtral-8x7B-Instruct-v0.1,Financial impact,81,102,150,17
mistralai/Mixtral-8x7B-Instruct-v0.1,Ecological impact,23,33,263,31
mistralai/Mixtral-8x7B-Instruct-v0.1,Agricultural impact,44,27,243,36
mistralai/Mixtral-8x7B-Instruct-v0.1,Human health impact,77,65,168,40
gpt-4,Infrastructural impact,149,70,112,19
gpt-4,Political impact,49,79,210,12
gpt-4,Financial impact,93,136,116,5
gpt-4,Ecological impact,30,57,239,24
gpt-4,Agricultural impact,60,48,222,20
gpt-4,Human health impact,98,79,154,19
gpt-4o,Infrastructural impact,159,64,118,9
gpt-4o,Political impact,46,41,248,15
gpt-4o,Financial impact,81,68,184,17
gpt-4o,Ecological impact,36,56,240,18
gpt-4o,Agricultural impact,69,42,228,11
gpt-4o,Human health impact,100,52,181,17
