Date,Type,Weather,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Economic impact,Societal impact,Human Health impact,Political impact
18800116,historical,,Classification-GPT4,1,0,1,1,1,0,0
18800116,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,0
18800120,historical,,Classification-GPT4,0,1,0,1,0,0,0
18800120,historical,,Classification-GPT4o-mini,0,1,1,1,0,0,0
18800121,historical,,Classification-GPT4,1,1,0,1,1,1,0
18800121,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18800219,historical,,Classification-GPT4,0,1,0,1,0,0,0
18800219,historical,,Classification-GPT4o-mini,0,1,0,1,0,0,0
18800403,historical,,Classification-GPT4,0,1,1,1,1,0,0
18800403,historical,,Classification-GPT4o-mini,0,1,1,1,0,0,0
18800408,historical,,Classification-GPT4,1,0,0,0,1,1,0
18800408,historical,,Classification-GPT4o-mini,1,0,0,0,1,0,0
18800415,historical,,Classification-GPT4,0,1,1,0,1,0,0
18800415,historical,,Classification-GPT4o-mini,0,1,1,0,1,0,0
18830312,historical,,Classification-GPT4,1,0,0,1,1,1,0
18830312,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18940213,historical,,Classification-GPT4,1,0,0,1,1,1,0
18940213,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18950819,historical,,Classification-GPT4,1,0,0,1,1,1,0
18950819,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18930710,historical,,Classification-GPT4,0,0,0,0,1,1,0
18930710,historical,,Classification-GPT4o-mini,0,0,0,0,1,1,0
18920615,historical,,Classification-GPT4,1,0,0,1,1,1,0
18920615,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18920223,historical,,Classification-GPT4,1,0,0,1,1,1,1
18920223,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,1
18910908,historical,,Classification-GPT4,1,1,0,1,0,1,0
18910908,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18961014,historical,,Classification-GPT4,1,1,1,1,1,1,0
18961014,historical,,Classification-GPT4o-mini,1,0,1,1,1,0,0
18930830,historical,,Classification-GPT4,1,1,1,1,1,1,0
18930830,historical,,Classification-GPT4o-mini,1,1,1,1,1,1,0
18860106,historical,,Classification-GPT4,1,0,1,1,1,0,1
18860106,historical,,Classification-GPT4o-mini,1,0,1,1,1,0,0
18950819,historical,,Classification-GPT4,1,1,0,1,1,1,0
18950819,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18890805,historical,,Classification-GPT4,1,1,1,1,1,1,0
18890805,historical,,Classification-GPT4o-mini,1,1,1,1,1,1,0
18830205,historical,,Classification-GPT4,1,1,1,1,1,1,0
18830205,historical,,Classification-GPT4o-mini,1,0,1,1,1,1,0
18880903,historical,,Classification-GPT4,0,1,0,1,0,1,0
18880903,historical,,Classification-GPT4o-mini,0,1,0,1,0,1,0
18840912,historical,,Classification-GPT4,1,1,1,1,1,1,0
18840912,historical,,Classification-GPT4o-mini,1,1,1,1,1,1,0
18841230,historical,,Classification-GPT4,1,1,1,1,1,0,0
18841230,historical,,Classification-GPT4o-mini,1,1,1,1,1,0,0
18900206,historical,,Classification-GPT4,1,1,1,1,1,0,1
18900206,historical,,Classification-GPT4o-mini,1,1,1,1,1,0,1
18951011,historical,,Classification-GPT4,1,0,0,1,1,0,1
18951011,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,1
18980623,historical,,Classification-GPT4,0,1,0,0,0,0,0
18980623,historical,,Classification-GPT4o-mini,0,1,0,0,0,0,0
18940213,historical,,Classification-GPT4,1,1,0,1,1,1,0
18940213,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18980207,historical,,Classification-GPT4,1,0,0,1,1,1,0
18980207,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18950515,historical,,Classification-GPT4,0,1,0,1,0,0,0
18950515,historical,,Classification-GPT4o-mini,0,1,0,1,0,0,0
18981128,historical,,Classification-GPT4,1,0,0,1,1,1,0
18981128,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18981124,historical,,Classification-GPT4,1,0,0,1,1,0,0
18981124,historical,,Classification-GPT4o-mini,1,1,0,1,1,0,0
18820222,historical,,Classification-GPT4,1,0,0,1,1,1,0
18820222,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18860123,historical,,Classification-GPT4,1,1,0,1,1,1,0
18860123,historical,,Classification-GPT4o-mini,1,0,0,0,1,1,0
18830321,historical,,Classification-GPT4,1,1,0,1,1,0,1
18830321,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,1
18870329,historical,,Classification-GPT4,1,0,0,1,1,0,1
18870329,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,1
18870301,historical,,Classification-GPT4,1,1,0,1,1,1,1
18870301,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,1
18890408,historical,,Classification-GPT4,1,0,0,0,1,0,0
18890408,historical,,Classification-GPT4o-mini,1,0,0,0,1,0,0
18860205,historical,,Classification-GPT4,1,1,0,1,1,1,0
18860205,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18950515,historical,,Classification-GPT4,0,1,0,1,0,0,0
18950515,historical,,Classification-GPT4o-mini,0,1,0,1,1,0,0
18850404,historical,,Classification-GPT4,1,1,1,1,1,1,0
18850404,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18980321,historical,,Classification-GPT4,1,0,1,1,1,0,0
18980321,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,0
18841107,historical,,Classification-GPT4,1,0,0,1,1,1,0
18841107,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18960101,historical,,Classification-GPT4,1,0,1,1,1,1,0
18960101,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18870822,historical,,Classification-GPT4,1,1,0,1,0,1,1
18870822,historical,,Classification-GPT4o-mini,1,1,0,1,0,1,1
18860419,historical,,Classification-GPT4,1,0,1,1,1,1,1
18860419,historical,,Classification-GPT4o-mini,1,1,1,1,1,1,1
18860407,historical,,Classification-GPT4,1,0,0,1,1,1,1
18860407,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,1
18870425,historical,,Classification-GPT4,1,0,1,1,1,1,1
18870425,historical,,Classification-GPT4o-mini,1,0,1,1,1,1,1
18990114,historical,,Classification-GPT4,1,0,0,1,1,1,0
18990114,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18981019,historical,,Classification-GPT4,1,0,0,1,1,1,0
18981019,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18990925,historical,,Classification-GPT4,1,1,1,1,1,0,0
18990925,historical,,Classification-GPT4o-mini,1,1,1,0,0,0,0
18800623,historical,,Classification-GPT4,1,0,0,0,0,1,0
18800623,historical,,Classification-GPT4o-mini,1,0,0,0,0,1,0
18961023,historical,,Classification-GPT4,1,0,0,0,1,0,0
18961023,historical,,Classification-GPT4o-mini,1,0,0,0,1,0,0
18971227,historical,,Classification-GPT4,0,1,0,1,0,0,0
18971227,historical,,Classification-GPT4o-mini,0,1,0,1,0,0,0
18841107,historical,,Classification-GPT4,1,0,0,1,1,1,0
18841107,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18901203,historical,,Classification-GPT4,1,1,0,1,1,0,0
18901203,historical,,Classification-GPT4o-mini,1,1,0,1,1,0,0
18910310,historical,,Classification-GPT4,1,0,1,1,1,1,0
18910310,historical,,Classification-GPT4o-mini,1,0,1,1,1,1,0
18911214,historical,,Classification-GPT4,1,0,0,1,1,1,0
18911214,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18990109,historical,,Classification-GPT4,1,0,0,1,1,0,0
18990109,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,0
18820222,historical,,Classification-GPT4,1,0,0,1,1,0,0
18820222,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,0
18981124,historical,,Classification-GPT4,1,1,0,1,1,0,0
18981124,historical,,Classification-GPT4o-mini,1,1,0,1,1,0,0
18871229,historical,,Classification-GPT4,1,0,0,1,1,0,1
18871229,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,1
18840128,historical,,Classification-GPT4,1,0,0,1,1,1,0
18840128,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,0
18840303,historical,,Classification-GPT4,1,0,0,0,1,0,0
18840303,historical,,Classification-GPT4o-mini,1,0,0,0,1,0,0
18940213,historical,,Classification-GPT4,1,1,0,1,1,1,0
18940213,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18910127,historical,,Classification-GPT4,1,0,0,1,1,0,0
18910127,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,0
18940410,historical,,Classification-GPT4,1,0,0,1,1,0,0
18940410,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,0
18940217,historical,,Classification-GPT4,1,1,0,1,1,1,0
18940217,historical,,Classification-GPT4o-mini,1,1,0,1,1,1,0
18981128,historical,,Classification-GPT4,1,0,0,1,0,1,0
18981128,historical,,Classification-GPT4o-mini,1,0,0,1,0,1,0
18860423,historical,,Classification-GPT4,1,0,0,1,1,1,1
18860423,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,1
18860125,historical,,Classification-GPT4,1,1,0,1,1,1,0
18860125,historical,,Classification-GPT4o-mini,1,1,1,1,1,1,0
18970625,historical,,Classification-GPT4,1,0,0,1,1,0,0
18970625,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,0
18930314,historical,,Classification-GPT4,1,0,0,1,1,1,0
18930314,historical,,Classification-GPT4o-mini,1,1,1,1,1,1,0
18860426,historical,,Classification-GPT4,1,0,0,1,1,1,1
18860426,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,1
18850427,historical,,Classification-GPT4,1,1,1,1,1,1,1
18850427,historical,,Classification-GPT4o-mini,1,1,1,1,1,1,1
18830607,historical,,Classification-GPT4,1,0,0,1,1,1,1
18830607,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,1
18971130,historical,,Classification-GPT4,1,0,0,1,1,1,0
18971130,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,1
18940612,historical,,Classification-GPT4,1,1,1,1,1,1,1
18940612,historical,,Classification-GPT4o-mini,1,1,1,1,1,0,1
18880927,historical,,Classification-GPT4,1,0,0,1,1,1,1
18880927,historical,,Classification-GPT4o-mini,1,0,0,1,1,1,1
18990510,historical,,Classification-GPT4,0,1,0,1,0,0,0
18990510,historical,,Classification-GPT4o-mini,0,1,0,1,0,0,0
18950417,historical,,Classification-GPT4,1,0,0,1,1,0,0
18950417,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,0
18870423,historical,,Classification-GPT4,1,0,1,1,1,0,1
18870423,historical,,Classification-GPT4o-mini,1,0,1,1,1,0,1
18860116,historical,,Classification-GPT4,1,0,0,1,1,0,1
18860116,historical,,Classification-GPT4o-mini,1,0,0,1,1,0,1
19980109,modern,,Classification-GPT4,1,0,1,1,1,0,1
19980109,modern,,Classification-GPT4o-mini,1,0,1,1,1,0,1
20001106,modern,,Classification-GPT4,1,0,0,1,1,0,1
20001106,modern,,Classification-GPT4o-mini,1,0,0,1,1,0,1
19980124,modern,,Classification-GPT4,1,0,1,1,1,1,1
19980124,modern,,Classification-GPT4o-mini,1,0,1,1,1,1,1
20040906,modern,,Classification-GPT4,1,0,0,1,1,1,0
20040906,modern,,Classification-GPT4o-mini,1,0,0,1,1,1,0
20080424,modern,,Classification-GPT4,1,0,1,1,1,0,1
20080424,modern,,Classification-GPT4o-mini,1,0,1,1,1,0,1
19980114,modern,,Classification-GPT4,1,0,0,1,1,1,1
19980114,modern,,Classification-GPT4o-mini,1,0,0,1,1,1,1
19960724,modern,,Classification-GPT4,1,0,1,1,1,1,1
19960724,modern,,Classification-GPT4o-mini,1,0,0,1,1,1,1
19930731,modern,,Classification-GPT4,1,1,1,1,1,1,0
19930731,modern,,Classification-GPT4o-mini,1,1,1,1,1,1,0
20000715,modern,,Classification-GPT4,1,0,0,1,1,1,1
20000715,modern,,Classification-GPT4o-mini,1,0,0,1,1,1,1
20070626,modern,,Classification-GPT4,1,1,1,1,1,1,1
20070626,modern,,Classification-GPT4o-mini,1,1,1,1,1,1,1
