Model_Type,Metric,350-zero,350-one,1300-zero,1300-one
gpt-3.5-turbo,Accuracy,0.7579,0.6902,0.760483333,0.733816667
gpt-4,Accuracy,0.7315,0.717583333,0.729516667,0.72285
gpt-4o,Accuracy,0.805483333,0.805966667,0.804766667,0.8038
meta-llama/Llama-3.1-8B-Instruct,Accuracy,0.692616667,0.692116667,0.702383333,0.690466667
mistralai/Mixtral-8x7B-Instruct-v0.1,Accuracy,0.761366667,0.704,0.758483333,0.739233333
Qwen/Qwen2.5-7B-Instruct,Accuracy,0.709416667,0.6998,0.657133333,0.672866667
gpt-3.5-turbo,F1,0.5017,0.53765,0.558383333,0.556016667
gpt-4,F1,0.567916667,0.536116667,0.597966667,0.578266667
gpt-4o,F1,0.659316667,0.664666667,0.675,0.676916667
meta-llama/Llama-3.1-8B-Instruct,F1,0.509933333,0.5069,0.55995,0.553416667
mistralai/Mixtral-8x7B-Instruct-v0.1,F1,0.499416667,0.387533333,0.565,0.503966667
Qwen/Qwen2.5-7B-Instruct,F1,0.44625,0.470616667,0.468233333,0.4566
gpt-3.5-turbo,Precision,0.50985,0.446316667,0.513866667,0.4901
gpt-4,Precision,0.484083333,0.460816667,0.487233333,0.477116667
gpt-4o,Precision,0.580133333,0.5825,0.576016667,0.572733333
meta-llama/Llama-3.1-8B-Instruct,Precision,0.463983333,0.448333333,0.47805,0.454916667
mistralai/Mixtral-8x7B-Instruct-v0.1,Precision,0.54205,0.395283333,0.5353,0.478666667
Qwen/Qwen2.5-7B-Instruct,Precision,0.436383333,0.47965,0.395266667,0.448483333
gpt-3.5-turbo,Recall,0.498583333,0.71685,0.615666667,0.662366667
gpt-4,Recall,0.708683333,0.662516667,0.797066667,0.7566
gpt-4o,Recall,0.767783333,0.77815,0.818483333,0.83135
meta-llama/Llama-3.1-8B-Instruct,Recall,0.636883333,0.617616667,0.73955,0.7542
mistralai/Mixtral-8x7B-Instruct-v0.1,Recall,0.484533333,0.389066667,0.6206,0.5382
Qwen/Qwen2.5-7B-Instruct,Recall,0.473866667,0.540616667,0.602366667,0.592533333
